subject	town	district	street	family	gender	replicate
11.07438	E	d3	s3	f1	female	2
8.189022	E	d3	s3	f2	male	1
7.427627	E	d3	s3	f2	male	2
12.80973	E	d3	s3	f2	female	1
13.0425	E	d3	s3	f2	female	2
10.05764	E	d3	s3	f3	male	1
9.0393	E	d3	s3	f3	male	2
2.548266	E	d3	s3	f3	female	1
0.9408655	E	d3	s3	f3	female	2
15.86447	E	d3	s4	f1	male	1
15.74412	E	d3	s4	f1	male	2
12.85645	E	d3	s4	f1	female	1
15.0812	E	d3	s4	f1	female	2
15.01267	E	d3	s4	f2	male	1
15.1419	E	d3	s4	f2	male	2
19.2198	E	d3	s4	f2	female	1
18.7327	E	d3	s4	f2	female	2
8.879525	E	d3	s4	f3	male	1
8.128476	E	d3	s4	f3	male	2
3.588774	E	d3	s4	f3	female	1
6.015632	E	d3	s4	f3	female	2
