RefNo	Date	Transect	Position	Location	Height
3715	15/08/1996	A	5	15	10
3716	15/08/1996	A	5	16	8.5
3717	15/08/1996	A	5	17	7
3718	15/08/1996	A	5	18	7
3719	15/08/1996	A	5	19	14
3720	15/08/1996	A	5	20	9
3721	15/08/1996	A	5	21	8.5
3722	15/08/1996	A	5	22	7.5
3723	15/08/1996	A	5	23	11.5
3724	15/08/1996	A	5	24	16
3725	15/08/1996	A	5	25	9
3726	15/08/1996	A	6	1	5.5
3727	15/08/1996	A	6	2	4
3728	15/08/1996	A	6	3	3
3729	15/08/1996	A	6	4	3.5
3730	15/08/1996	A	6	5	6.5
3731	15/08/1996	A	6	6	4.5
3732	15/08/1996	A	6	7	7
3733	15/08/1996	A	6	8	7
3734	15/08/1996	A	6	9	8
3735	15/08/1996	A	6	10	9
3736	15/08/1996	A	6	11	9
3737	15/08/1996	A	6	12	5
3738	15/08/1996	A	6	13	6.5
3739	15/08/1996	A	6	14	8
3740	15/08/1996	A	6	15	6.5
3741	15/08/1996	A	6	16	6.5
3742	15/08/1996	A	6	17	9.5
3743	15/08/1996	A	6	18	24.5
3744	15/08/1996	A	6	19	18.5
3745	15/08/1996	A	6	20	24.5
3746	15/08/1996	A	6	21	9
3747	15/08/1996	A	6	22	12
3748	15/08/1996	A	6	23	12
3749	15/08/1996	A	6	24	11.5
3750	15/08/1996	A	6	25	11
3751	15/08/1996	B	1	1	17.5
3752	15/08/1996	B	1	2	8.5
3753	15/08/1996	B	1	3	9.5
3754	15/08/1996	B	1	4	9
3755	15/08/1996	B	1	5	8.5
3756	15/08/1996	B	1	6	12
3757	15/08/1996	B	1	7	8.5
3758	15/08/1996	B	1	8	6.5
3759	15/08/1996	B	1	9	8
3760	15/08/1996	B	1	10	8.5
3761	15/08/1996	B	1	11	11.5
3762	15/08/1996	B	1	12	14
3763	15/08/1996	B	1	13	15.5
3764	15/08/1996	B	1	14	15
3765	15/08/1996	B	1	15	14
3766	15/08/1996	B	1	16	13.5
3767	15/08/1996	B	1	17	14
3768	15/08/1996	B	1	18	21
3769	15/08/1996	B	1	19	12.5
3770	15/08/1996	B	1	20	14
3771	15/08/1996	B	1	21	25
3772	15/08/1996	B	1	22	18
3773	15/08/1996	B	1	23	16.5
3774	15/08/1996	B	1	24	16
3775	15/08/1996	B	1	25	16.5
3776	15/08/1996	B	2	1	9.5
3777	15/08/1996	B	2	2	10
3778	15/08/1996	B	2	3	7.5
3779	15/08/1996	B	2	4	7.5
3780	15/08/1996	B	2	5	3
3781	15/08/1996	B	2	6	2
3782	15/08/1996	B	2	7	5.5
3783	15/08/1996	B	2	8	7
3784	15/08/1996	B	2	9	11.5
3785	15/08/1996	B	2	10	10.5
3786	15/08/1996	B	2	11	7
3787	15/08/1996	B	2	12	7
3788	15/08/1996	B	2	13	8.5
3789	15/08/1996	B	2	14	8
3790	15/08/1996	B	2	15	4
3791	15/08/1996	B	2	16	4
3792	15/08/1996	B	2	17	11
3793	15/08/1996	B	2	18	9.5
3794	15/08/1996	B	2	19	15
3795	15/08/1996	B	2	20	16
3796	15/08/1996	B	2	21	8
3797	15/08/1996	B	2	22	16
3798	15/08/1996	B	2	23	22
3799	15/08/1996	B	2	24	20
3800	15/08/1996	B	2	25	15
3801	15/08/1996	B	3	1	33
3802	15/08/1996	B	3	2	32.5
3803	15/08/1996	B	3	3	22.5
3804	15/08/1996	B	3	4	22
3805	15/08/1996	B	3	5	26.5
3806	15/08/1996	B	3	6	23
3807	15/08/1996	B	3	7	15
3808	15/08/1996	B	3	8	23
3809	15/08/1996	B	3	9	24
3810	15/08/1996	B	3	10	13
3811	15/08/1996	B	3	11	9.5
3812	15/08/1996	B	3	12	11
3813	15/08/1996	B	3	13	12
3814	15/08/1996	B	3	14	10.5
3815	15/08/1996	B	3	15	13.5
3816	15/08/1996	B	3	16	15
3817	15/08/1996	B	3	17	19.5
3818	15/08/1996	B	3	18	19
3819	15/08/1996	B	3	19	24.5
3820	15/08/1996	B	3	20	15
3821	15/08/1996	B	3	21	16.5
3822	15/08/1996	B	3	22	18
3823	15/08/1996	B	3	23	18.5
3824	15/08/1996	B	3	24	13.5
3825	15/08/1996	B	3	25	16
3826	15/08/1996	B	4	1	30
3827	15/08/1996	B	4	2	27
3828	15/08/1996	B	4	3	23.5
3829	15/08/1996	B	4	4	26
3830	15/08/1996	B	4	5	23.5
3831	15/08/1996	B	4	6	23.5
3832	15/08/1996	B	4	7	19.5
3833	15/08/1996	B	4	8	13.5
3834	15/08/1996	B	4	9	11
3835	15/08/1996	B	4	10	10.5
3836	15/08/1996	B	4	11	20
3837	15/08/1996	B	4	12	14
3838	15/08/1996	B	4	13	1
3839	15/08/1996	B	4	14	30.5
3840	15/08/1996	B	4	15	28
3841	15/08/1996	B	4	16	25.5
3842	15/08/1996	B	4	17	11
3843	15/08/1996	B	4	18	19
3844	15/08/1996	B	4	19	18
3845	15/08/1996	B	4	20	19
3846	15/08/1996	B	4	21	23
3847	15/08/1996	B	4	22	15.5
3848	15/08/1996	B	4	23	22
3849	15/08/1996	B	4	24	16.5
3850	15/08/1996	B	4	25	16
3851	15/08/1996	B	5	1	4
3852	15/08/1996	B	5	2	4.5
3853	15/08/1996	B	5	3	3.5
3854	15/08/1996	B	5	4	2
3855	15/08/1996	B	5	5	3
3856	15/08/1996	B	5	6	3.5
3857	15/08/1996	B	5	7	6.5
3858	15/08/1996	B	5	8	6.5
3859	15/08/1996	B	5	9	5
3860	15/08/1996	B	5	10	7
3861	15/08/1996	B	5	11	8.5
3862	15/08/1996	B	5	12	5.5
3863	15/08/1996	B	5	13	7
3864	15/08/1996	B	5	14	3
3865	15/08/1996	B	5	15	2.5
3866	15/08/1996	B	5	16	3
3867	15/08/1996	B	5	17	2
3868	15/08/1996	B	5	18	1.5
3869	15/08/1996	B	5	19	3
3870	15/08/1996	B	5	20	3
3871	15/08/1996	B	5	21	2.5
3872	15/08/1996	B	5	22	3
3873	15/08/1996	B	5	23	8
3874	15/08/1996	B	5	24	4
3875	15/08/1996	B	5	25	2
3876	15/08/1996	B	6	1	6
3877	15/08/1996	B	6	2	4
3878	15/08/1996	B	6	3	5.5
3879	15/08/1996	B	6	4	5
3880	15/08/1996	B	6	5	4.5
3881	15/08/1996	B	6	6	7
3882	15/08/1996	B	6	7	3
3883	15/08/1996	B	6	8	3
3884	15/08/1996	B	6	9	3.5
3885	15/08/1996	B	6	10	4
3886	15/08/1996	B	6	11	4
3887	15/08/1996	B	6	12	2.5
3888	15/08/1996	B	6	13	7
3889	15/08/1996	B	6	14	4
3890	15/08/1996	B	6	15	5
3891	15/08/1996	B	6	16	6
3892	15/08/1996	B	6	17	7.5
3893	15/08/1996	B	6	18	6.5
3894	15/08/1996	B	6	19	5
3895	15/08/1996	B	6	20	4.5
3896	15/08/1996	B	6	21	5
3897	15/08/1996	B	6	22	5.5
3898	15/08/1996	B	6	23	3
3899	15/08/1996	B	6	24	3
3900	15/08/1996	B	6	25	3.5
3901	15/08/1996	C	1	1	2
3902	15/08/1996	C	1	2	4
3903	15/08/1996	C	1	3	8.5
3904	15/08/1996	C	1	4	6.5
3905	15/08/1996	C	1	5	4
3906	15/08/1996	C	1	6	9
3907	15/08/1996	C	1	7	7
3908	15/08/1996	C	1	8	9.5
3909	15/08/1996	C	1	9	18.5
3910	15/08/1996	C	1	10	10.5
3911	15/08/1996	C	1	11	12
3912	15/08/1996	C	1	12	11.5
3913	15/08/1996	C	1	13	26
3914	15/08/1996	C	1	14	15.5
3915	15/08/1996	C	1	15	21
3916	15/08/1996	C	1	16	18.5
3917	15/08/1996	C	1	17	12.5
3918	15/08/1996	C	1	18	17
3919	15/08/1996	C	1	19	10
3920	15/08/1996	C	1	20	13.5
3921	15/08/1996	C	1	21	13
3922	15/08/1996	C	1	22	17.5
3923	15/08/1996	C	1	23	20
3924	15/08/1996	C	1	24	12.5
3925	15/08/1996	C	1	25	15.5
3926	15/08/1996	C	2	1	26.5
3927	15/08/1996	C	2	2	21
3928	15/08/1996	C	2	3	21
3929	15/08/1996	C	2	4	19.5
3930	15/08/1996	C	2	5	20
3931	15/08/1996	C	2	6	13.5
3932	15/08/1996	C	2	7	15
3933	15/08/1996	C	2	8	14
3934	15/08/1996	C	2	9	14
3935	15/08/1996	C	2	10	13
3936	15/08/1996	C	2	11	14
3937	15/08/1996	C	2	12	14.5
3938	15/08/1996	C	2	13	15.5
3939	15/08/1996	C	2	14	15.5
3940	15/08/1996	C	2	15	16.5
3941	15/08/1996	C	2	16	23
3942	15/08/1996	C	2	17	25
3943	15/08/1996	C	2	18	21
3944	15/08/1996	C	2	19	29
3945	15/08/1996	C	2	20	27.5
3946	15/08/1996	C	2	21	21
3947	15/08/1996	C	2	22	21
3948	15/08/1996	C	2	23	21.5
3949	15/08/1996	C	2	24	18
3950	15/08/1996	C	2	25	19
3951	15/08/1996	C	3	1	18
3952	15/08/1996	C	3	2	18
3953	15/08/1996	C	3	3	30
3954	15/08/1996	C	3	4	28.5
3955	15/08/1996	C	3	5	26
3956	15/08/1996	C	3	6	21
3957	15/08/1996	C	3	7	31.5
3958	15/08/1996	C	3	8	28
3959	15/08/1996	C	3	9	28.5
3960	15/08/1996	C	3	10	23
3961	15/08/1996	C	3	11	14.5
3962	15/08/1996	C	3	12	15
3963	15/08/1996	C	3	13	18
3964	15/08/1996	C	3	14	17.5
3965	15/08/1996	C	3	15	23.5
3966	15/08/1996	C	3	16	29.5
3967	15/08/1996	C	3	17	26.5
3968	15/08/1996	C	3	18	15.5
3969	15/08/1996	C	3	19	17
3970	15/08/1996	C	3	20	18
3971	15/08/1996	C	3	21	17
3972	15/08/1996	C	3	22	17
3973	15/08/1996	C	3	23	24
3974	15/08/1996	C	3	24	23.5
3975	15/08/1996	C	3	25	23.5
3976	15/08/1996	C	4	1	7.5
3977	15/08/1996	C	4	2	7.5
3978	15/08/1996	C	4	3	15
3979	15/08/1996	C	4	4	15.5
3980	15/08/1996	C	4	5	18.5
3981	15/08/1996	C	4	6	18
3982	15/08/1996	C	4	7	12.5
3983	15/08/1996	C	4	8	14.5
3984	15/08/1996	C	4	9	13.5
3985	15/08/1996	C	4	10	13
3986	15/08/1996	C	4	11	13
3987	15/08/1996	C	4	12	11
3988	15/08/1996	C	4	13	8.5
3989	15/08/1996	C	4	14	11
3990	15/08/1996	C	4	15	9.5
3991	15/08/1996	C	4	16	12
3992	15/08/1996	C	4	17	12
3993	15/08/1996	C	4	18	13
3994	15/08/1996	C	4	19	11
3995	15/08/1996	C	4	20	16
3996	15/08/1996	C	4	21	16.5
3997	15/08/1996	C	4	22	15.5
3998	15/08/1996	C	4	23	15
3999	15/08/1996	C	4	24	12.5
4000	15/08/1996	C	4	25	7
4001	15/08/1996	C	5	1	2
4002	15/08/1996	C	5	2	7.5
4003	15/08/1996	C	5	3	23.5
4004	15/08/1996	C	5	4	23
4005	15/08/1996	C	5	5	9
4006	15/08/1996	C	5	6	15
4007	15/08/1996	C	5	7	11.5
4008	15/08/1996	C	5	8	10.5
4009	15/08/1996	C	5	9	19
4010	15/08/1996	C	5	10	13.5
4011	15/08/1996	C	5	11	8
4012	15/08/1996	C	5	12	8
4013	15/08/1996	C	5	13	5.5
4014	15/08/1996	C	5	14	10
4015	15/08/1996	C	5	15	6.5
4016	15/08/1996	C	5	16	5.5
4017	15/08/1996	C	5	17	7.5
4018	15/08/1996	C	5	18	7
4019	15/08/1996	C	5	19	4
4020	15/08/1996	C	5	20	9
4021	15/08/1996	C	5	21	2.5
4022	15/08/1996	C	5	22	4
4023	15/08/1996	C	5	23	2
4024	15/08/1996	C	5	24	2
4025	15/08/1996	C	5	25	5.5
4026	15/08/1996	C	6	1	5
4027	15/08/1996	C	6	2	4
4028	15/08/1996	C	6	3	8
4029	15/08/1996	C	6	4	4
4030	15/08/1996	C	6	5	2
4031	15/08/1996	C	6	6	0.5
4032	15/08/1996	C	6	7	1.5
4033	15/08/1996	C	6	8	4
4034	15/08/1996	C	6	9	4
4035	15/08/1996	C	6	10	16.5
4036	15/08/1996	C	6	11	6.5
4037	15/08/1996	C	6	12	5.5
4038	15/08/1996	C	6	13	2.5
4039	15/08/1996	C	6	14	4.5
4040	15/08/1996	C	6	15	5
4041	15/08/1996	C	6	16	5
4042	15/08/1996	C	6	17	6
4043	15/08/1996	C	6	18	5.5
4044	15/08/1996	C	6	19	2.5
4045	15/08/1996	C	6	20	0.5
4046	15/08/1996	C	6	21	5
4047	15/08/1996	C	6	22	2
4048	15/08/1996	C	6	23	4
4049	15/08/1996	C	6	24	5
4050	15/08/1996	C	6	25	5
4051	15/08/1996	D	1	1	5
4052	15/08/1996	D	1	2	7
4053	15/08/1996	D	1	3	6
4054	15/08/1996	D	1	4	7
4055	15/08/1996	D	1	5	1.5
4056	15/08/1996	D	1	6	1.5
4057	15/08/1996	D	1	7	8.5
4058	15/08/1996	D	1	8	5
4059	15/08/1996	D	1	9	5
4060	15/08/1996	D	1	10	8
4061	15/08/1996	D	1	11	2
4062	15/08/1996	D	1	12	2
4063	15/08/1996	D	1	13	8.5
4064	15/08/1996	D	1	14	3
4065	15/08/1996	D	1	15	5
4066	15/08/1996	D	1	16	6.5
4067	15/08/1996	D	1	17	5.5
4068	15/08/1996	D	1	18	3
4069	15/08/1996	D	1	19	8
4070	15/08/1996	D	1	20	4.5
4071	15/08/1996	D	1	21	6
4072	15/08/1996	D	1	22	7
4073	15/08/1996	D	1	23	8.5
4074	15/08/1996	D	1	24	9
4075	15/08/1996	D	1	25	6.5
4076	15/08/1996	D	2	1	24
4077	15/08/1996	D	2	2	14
4078	15/08/1996	D	2	3	3.5
4079	15/08/1996	D	2	4	2.5
4080	15/08/1996	D	2	5	2
4081	15/08/1996	D	2	6	6
4082	15/08/1996	D	2	7	9
4083	15/08/1996	D	2	8	10.5
4084	15/08/1996	D	2	9	3
4085	15/08/1996	D	2	10	3.5
4086	15/08/1996	D	2	11	4.5
4087	15/08/1996	D	2	12	2
4088	15/08/1996	D	2	13	2
4089	15/08/1996	D	2	14	1.5
4090	15/08/1996	D	2	15	2.5
4091	15/08/1996	D	2	16	3
4092	15/08/1996	D	2	17	2.5
4093	15/08/1996	D	2	18	8
4094	15/08/1996	D	2	19	3
4095	15/08/1996	D	2	20	2.5
4096	15/08/1996	D	2	21	4
4097	15/08/1996	D	2	22	2
4098	15/08/1996	D	2	23	1.5
4099	15/08/1996	D	2	24	2
4100	15/08/1996	D	2	25	2
4101	15/08/1996	D	3	1	1
4102	15/08/1996	D	3	2	3
4103	15/08/1996	D	3	3	1
4104	15/08/1996	D	3	4	2
4105	15/08/1996	D	3	5	4.5
4106	15/08/1996	D	3	6	1.5
4107	15/08/1996	D	3	7	1
4108	15/08/1996	D	3	8	0
4109	15/08/1996	D	3	9	0.5
4110	15/08/1996	D	3	10	0
4111	15/08/1996	D	3	11	1
4112	15/08/1996	D	3	12	1
4113	15/08/1996	D	3	13	1
4114	15/08/1996	D	3	14	0.5
4115	15/08/1996	D	3	15	2
4116	15/08/1996	D	3	16	6
4117	15/08/1996	D	3	17	2
4118	15/08/1996	D	3	18	5
4119	15/08/1996	D	3	19	2
4120	15/08/1996	D	3	20	3
4121	15/08/1996	D	3	21	2.5
4122	15/08/1996	D	3	22	1
4123	15/08/1996	D	3	23	2.5
4124	15/08/1996	D	3	24	2.5
4125	15/08/1996	D	3	25	3
4126	15/08/1996	D	4	1	1
4127	15/08/1996	D	4	2	1
4128	15/08/1996	D	4	3	0.5
4129	15/08/1996	D	4	4	1
4130	15/08/1996	D	4	5	1
4131	15/08/1996	D	4	6	2
4132	15/08/1996	D	4	7	1
4133	15/08/1996	D	4	8	1
4134	15/08/1996	D	4	9	1
4135	15/08/1996	D	4	10	1
4136	15/08/1996	D	4	11	0
4137	15/08/1996	D	4	12	1.5
4138	15/08/1996	D	4	13	1
4139	15/08/1996	D	4	14	1.5
4140	15/08/1996	D	4	15	1.5
4141	15/08/1996	D	4	16	2
4142	15/08/1996	D	4	17	2
4143	15/08/1996	D	4	18	2
4144	15/08/1996	D	4	19	1
4145	15/08/1996	D	4	20	1
4146	15/08/1996	D	4	21	0.5
4147	15/08/1996	D	4	22	4
4148	15/08/1996	D	4	23	0.5
4149	15/08/1996	D	4	24	1.5
4150	15/08/1996	D	4	25	0.5
4151	15/08/1996	D	5	1	10
4152	15/08/1996	D	5	2	5.5
4153	15/08/1996	D	5	3	8.5
4154	15/08/1996	D	5	4	5
4155	15/08/1996	D	5	5	4
4156	15/08/1996	D	5	6	3.5
4157	15/08/1996	D	5	7	6.5
4158	15/08/1996	D	5	8	5
4159	15/08/1996	D	5	9	6
4160	15/08/1996	D	5	10	4.5
4161	15/08/1996	D	5	11	5.5
4162	15/08/1996	D	5	12	8.5
4163	15/08/1996	D	5	13	4
4164	15/08/1996	D	5	14	9.5
4165	15/08/1996	D	5	15	8.5
4166	15/08/1996	D	5	16	6.5
4167	15/08/1996	D	5	17	8
4168	15/08/1996	D	5	18	4
4169	15/08/1996	D	5	19	4.5
4170	15/08/1996	D	5	20	7.5
4171	15/08/1996	D	5	21	6
4172	15/08/1996	D	5	22	5.5
4173	15/08/1996	D	5	23	5.5
4174	15/08/1996	D	5	24	4.5
4175	15/08/1996	D	5	25	3
4176	15/08/1996	D	6	1	6.5
4177	15/08/1996	D	6	2	8
4178	15/08/1996	D	6	3	7.5
4179	15/08/1996	D	6	4	7
4180	15/08/1996	D	6	5	8
4181	15/08/1996	D	6	6	7.5
4182	15/08/1996	D	6	7	10
4183	15/08/1996	D	6	8	10
4184	15/08/1996	D	6	9	7.5
4185	15/08/1996	D	6	10	8.5
4186	15/08/1996	D	6	11	8.5
4187	15/08/1996	D	6	12	15
4188	15/08/1996	D	6	13	8
4189	15/08/1996	D	6	14	7.5
4190	15/08/1996	D	6	15	7
4191	15/08/1996	D	6	16	6
4192	15/08/1996	D	6	17	7
4193	15/08/1996	D	6	18	9
4194	15/08/1996	D	6	19	7.5
4195	15/08/1996	D	6	20	7.5
4196	15/08/1996	D	6	21	7
4197	15/08/1996	D	6	22	6.5
4198	15/08/1996	D	6	23	9
4199	15/08/1996	D	6	24	9.5
4200	15/08/1996	D	6	25	4.5
4201	15/08/1996	E	1	1	17
4202	15/08/1996	E	1	2	14
4203	15/08/1996	E	1	3	18.5
4204	15/08/1996	E	1	4	15.5
4205	15/08/1996	E	1	5	21
4206	15/08/1996	E	1	6	18
4207	15/08/1996	E	1	7	10.5
4208	15/08/1996	E	1	8	11
4209	15/08/1996	E	1	9	23
4210	15/08/1996	E	1	10	30
4211	15/08/1996	E	1	11	16.5
4212	15/08/1996	E	1	12	23
4213	15/08/1996	E	1	13	27.5
4214	15/08/1996	E	1	14	29
4215	15/08/1996	E	1	15	24.5
4216	15/08/1996	E	1	16	21
4217	15/08/1996	E	1	17	25
4218	15/08/1996	E	1	18	20.5
4219	15/08/1996	E	1	19	16
4220	15/08/1996	E	1	20	24.5
4221	15/08/1996	E	1	21	27
4222	15/08/1996	E	1	22	18.5
4223	15/08/1996	E	1	23	12.5
4224	15/08/1996	E	1	24	18
4225	15/08/1996	E	1	25	10.5
4226	15/08/1996	E	2	1	15
4227	15/08/1996	E	2	2	15.5
4228	15/08/1996	E	2	3	15.5
4229	15/08/1996	E	2	4	16
4230	15/08/1996	E	2	5	13.5
4231	15/08/1996	E	2	6	29
4232	15/08/1996	E	2	7	21
4233	15/08/1996	E	2	8	20.5
4234	15/08/1996	E	2	9	14.5
4235	15/08/1996	E	2	10	19.5
4236	15/08/1996	E	2	11	10
4237	15/08/1996	E	2	12	7
4238	15/08/1996	E	2	13	7.5
4239	15/08/1996	E	2	14	10
4240	15/08/1996	E	2	15	11
4241	15/08/1996	E	2	16	11
4242	15/08/1996	E	2	17	14.5
4243	15/08/1996	E	2	18	20
4244	15/08/1996	E	2	19	8
4245	15/08/1996	E	2	20	8
4246	15/08/1996	E	2	21	8
4247	15/08/1996	E	2	22	5.5
4248	15/08/1996	E	2	23	5
4249	15/08/1996	E	2	24	10
4250	15/08/1996	E	2	25	16
4251	15/08/1996	E	3	1	8.5
4252	15/08/1996	E	3	2	4.5
4253	15/08/1996	E	3	3	6.5
4254	15/08/1996	E	3	4	5
4255	15/08/1996	E	3	5	6
4256	15/08/1996	E	3	6	7
4257	15/08/1996	E	3	7	8
4258	15/08/1996	E	3	8	8
4259	15/08/1996	E	3	9	10
4260	15/08/1996	E	3	10	6
4261	15/08/1996	E	3	11	15
4262	15/08/1996	E	3	12	3.5
4263	15/08/1996	E	3	13	9
4264	15/08/1996	E	3	14	11.5
4265	15/08/1996	E	3	15	4
4266	15/08/1996	E	3	16	7.5
4267	15/08/1996	E	3	17	14.5
4268	15/08/1996	E	3	18	10.5
4269	15/08/1996	E	3	19	9
4270	15/08/1996	E	3	20	7.5
4271	15/08/1996	E	3	21	1.5
4272	15/08/1996	E	3	22	8
4273	15/08/1996	E	3	23	7.5
4274	15/08/1996	E	3	24	9
4275	15/08/1996	E	3	25	8
4276	15/08/1996	E	4	1	5.5
4277	15/08/1996	E	4	2	8.5
4278	15/08/1996	E	4	3	7
4279	15/08/1996	E	4	4	7
4280	15/08/1996	E	4	5	5.5
4281	15/08/1996	E	4	6	5
4282	15/08/1996	E	4	7	8
4283	15/08/1996	E	4	8	6
4284	15/08/1996	E	4	9	7.5
4285	15/08/1996	E	4	10	6.5
4286	15/08/1996	E	4	11	7
4287	15/08/1996	E	4	12	8
4288	15/08/1996	E	4	13	8
4289	15/08/1996	E	4	14	6
4290	15/08/1996	E	4	15	6.5
4291	15/08/1996	E	4	16	6.5
4292	15/08/1996	E	4	17	6.5
4293	15/08/1996	E	4	18	6.5
4294	15/08/1996	E	4	19	7.5
4295	15/08/1996	E	4	20	6.5
4296	15/08/1996	E	4	21	10.5
4297	15/08/1996	E	4	22	17.5
4298	15/08/1996	E	4	23	14
4299	15/08/1996	E	4	24	11.5
4300	15/08/1996	E	4	25	17.5
4301	15/08/1996	E	5	1	4.5
4302	15/08/1996	E	5	2	1
4303	15/08/1996	E	5	3	2
4304	15/08/1996	E	5	4	5
4305	15/08/1996	E	5	5	4
4306	15/08/1996	E	5	6	2.5
4307	15/08/1996	E	5	7	3.5
4308	15/08/1996	E	5	8	2.5
4309	15/08/1996	E	5	9	5
4310	15/08/1996	E	5	10	3.5
4311	15/08/1996	E	5	11	2
4312	15/08/1996	E	5	12	3.5
4313	15/08/1996	E	5	13	3.5
4314	15/08/1996	E	5	14	3.5
4315	15/08/1996	E	5	15	3
4316	15/08/1996	E	5	16	4.5
4317	15/08/1996	E	5	17	3.5
4318	15/08/1996	E	5	18	4
4319	15/08/1996	E	5	19	4
4320	15/08/1996	E	5	20	4.5
4321	15/08/1996	E	5	21	2
4322	15/08/1996	E	5	22	4.5
4323	15/08/1996	E	5	23	3
4324	15/08/1996	E	5	24	2
4325	15/08/1996	E	5	25	4.5
4326	15/08/1996	E	6	1	2
4327	15/08/1996	E	6	2	1.5
4328	15/08/1996	E	6	3	3
4329	15/08/1996	E	6	4	4
4330	15/08/1996	E	6	5	3.5
4331	15/08/1996	E	6	6	3.5
4332	15/08/1996	E	6	7	4
4333	15/08/1996	E	6	8	3
4334	15/08/1996	E	6	9	3
4335	15/08/1996	E	6	10	3
4336	15/08/1996	E	6	11	4.5
4337	15/08/1996	E	6	12	1.5
4338	15/08/1996	E	6	13	2
4339	15/08/1996	E	6	14	5
4340	15/08/1996	E	6	15	2
4341	15/08/1996	E	6	16	2
4342	15/08/1996	E	6	17	2
4343	15/08/1996	E	6	18	3
4344	15/08/1996	E	6	19	3
4345	15/08/1996	E	6	20	3.5
4346	15/08/1996	E	6	21	4
4347	15/08/1996	E	6	22	3.5
4348	15/08/1996	E	6	23	6
4349	15/08/1996	E	6	24	3.5
4350	15/08/1996	E	6	25	4
4351	15/03/1997	A	1	1	5
4352	15/03/1997	A	1	2	5.5
4353	15/03/1997	A	1	3	6
4354	15/03/1997	A	1	4	3
4355	15/03/1997	A	1	5	2
4356	15/03/1997	A	1	6	2
4357	15/03/1997	A	1	7	3
4358	15/03/1997	A	1	8	6
4359	15/03/1997	A	1	9	4
4360	15/03/1997	A	1	10	3
4361	15/03/1997	A	1	11	3.5
4362	15/03/1997	A	1	12	4
4363	15/03/1997	A	1	13	3
4364	15/03/1997	A	1	14	3.5
4365	15/03/1997	A	1	15	4
4366	15/03/1997	A	1	16	3.5
4367	15/03/1997	A	1	17	4
4368	15/03/1997	A	1	18	5
4369	15/03/1997	A	1	19	4
4370	15/03/1997	A	1	20	2.5
4371	15/03/1997	A	1	21	1
4372	15/03/1997	A	1	22	2
4373	15/03/1997	A	1	23	6
4374	15/03/1997	A	1	24	3
4375	15/03/1997	A	1	25	4
4376	15/03/1997	A	2	1	5
4377	15/03/1997	A	2	2	2.5
4378	15/03/1997	A	2	3	5
4379	15/03/1997	A	2	4	7.5
4380	15/03/1997	A	2	5	6.5
4381	15/03/1997	A	2	6	4.5
4382	15/03/1997	A	2	7	4
4383	15/03/1997	A	2	8	2.5
4384	15/03/1997	A	2	9	6.5
4385	15/03/1997	A	2	10	2
4386	15/03/1997	A	2	11	5.5
4387	15/03/1997	A	2	12	5
4388	15/03/1997	A	2	13	8.5
4389	15/03/1997	A	2	14	4
4390	15/03/1997	A	2	15	2
4391	15/03/1997	A	2	16	2.5
4392	15/03/1997	A	2	17	2
4393	15/03/1997	A	2	18	10
4394	15/03/1997	A	2	19	5
4395	15/03/1997	A	2	20	9.5
4396	15/03/1997	A	2	21	4
4397	15/03/1997	A	2	22	4
4398	15/03/1997	A	2	23	4.5
4399	15/03/1997	A	2	24	5
4400	15/03/1997	A	2	25	4
4401	15/03/1997	A	3	1	5
4402	15/03/1997	A	3	2	2.5
4403	15/03/1997	A	3	3	3.5
4404	15/03/1997	A	3	4	7.5
4405	15/03/1997	A	3	5	3
4406	15/03/1997	A	3	6	13
4407	15/03/1997	A	3	7	8
4408	15/03/1997	A	3	8	12
4409	15/03/1997	A	3	9	6
4410	15/03/1997	A	3	10	7
4411	15/03/1997	A	3	11	6.5
4412	15/03/1997	A	3	12	4
4413	15/03/1997	A	3	13	8.5
4414	15/03/1997	A	3	14	3.5
4415	15/03/1997	A	3	15	1.5
4416	15/03/1997	A	3	16	3
4417	15/03/1997	A	3	17	2.5
4418	15/03/1997	A	3	18	2
4419	15/03/1997	A	3	19	3
4420	15/03/1997	A	3	20	4.5
4421	15/03/1997	A	3	21	5.5
4422	15/03/1997	A	3	22	3.5
4423	15/03/1997	A	3	23	9.5
4424	15/03/1997	A	3	24	9.5
4425	15/03/1997	A	3	25	9
4426	15/03/1997	A	4	1	3
4427	15/03/1997	A	4	2	4
4428	15/03/1997	A	4	3	1
4429	15/03/1997	A	4	4	0.5
4430	15/03/1997	A	4	5	0.5
4431	15/03/1997	A	4	6	2
4432	15/03/1997	A	4	7	1.5
4433	15/03/1997	A	4	8	2.5
4434	15/03/1997	A	4	9	2
4435	15/03/1997	A	4	10	6
4436	15/03/1997	A	4	11	4
4437	15/03/1997	A	4	12	4
4438	15/03/1997	A	4	13	11
4439	15/03/1997	A	4	14	3.5
4440	15/03/1997	A	4	15	2
4441	15/03/1997	A	4	16	4.5
4442	15/03/1997	A	4	17	4.5
4443	15/03/1997	A	4	18	3.5
4444	15/03/1997	A	4	19	3
4445	15/03/1997	A	4	20	2
4446	15/03/1997	A	4	21	6
4447	15/03/1997	A	4	22	5.5
4448	15/03/1997	A	4	23	2.5
4449	15/03/1997	A	4	24	2.5
4450	15/03/1997	A	4	25	1.5
4451	15/03/1997	A	5	1	3
4452	15/03/1997	A	5	2	4
4453	15/03/1997	A	5	3	5.5
4454	15/03/1997	A	5	4	8
4455	15/03/1997	A	5	5	9
