DOM	BRYO	total	spp
0.933572453	68.56571019	144.6	5
1.151768776	0	103.21	7
7.263792647	0	101.72	7
5.206093979	0.408321096	83.42	9
28	2	111.4	3
0	2.327032366	69.61	5
12.2835781	0.120427236	90.2	6
0	0	142.3	8
0	0.8	73.9	8
6.630167598	1.657541899	98.9	5
0	0	179.61	5
3.312888719	0.55214812	115.41	8
13.46147541	0	149.3	5
0	21.14363636	120.3	7
0	0.101151897	131.72	8
0	44.20083796	111.51	8
10.08444902	0	108.8	6
0	43.7	61.9	3
0	24.54504141	54.01	7
3.37867611	0	146.01	6
0	0	97.1	2
0	0	72.2	2
0	0	35.2	1
3.147478592	0.104915953	66.16	13
0	1.1	70.23	7
2.452495544	3.737136067	78.62	9
4.148536831	0	114.2	2
2.118758815	3.884391161	75.11	5
9.1	0	133.11	3
0	0	105.2	1
0	35.27573876	124.61	6
0	8.636938436	68.3	4
0	0.01	62.81	2
0	4.2	64.8	3
1.682358446	0	67.41	3
0	6.076923077	86.9	9
0	0	90.9	3
16.9	0	175.3	1
1.951889365	27.32645111	100.21	9
1.803768116	1.030724638	177.8	4
0.261842105	7.4625	119.4	9
0.799288256	4.2628707	44.92	9
0	3.997047244	65.5	7
18.4	0	172.6	4
0	0	193.81	3
1.205448368	27.83489868	90.31	11
21.7	0	146.3	4
16.4	0.2	115.5	5
8.209876543	0.985185185	79.8	9
3.18936865	3.079390421	60.62	8
7.3	0	61.81	9
7.773259291	0.01160188	54.32	7
6.8	0	67.31	7
0	0.014183652	66.11	6
1.8	0	68.7	6
3.87461056	3.760651426	56.33	9
7.47271539	0.010675308	98.01	3
8.204599284	29.59887083	75.42	9
0	0	115.01	3
1.6	0	90.7	2
0	0.5	69.6	3
0.734157966	41.53236496	92.42	8
8.011687076	14.48688622	92.31	8
3.634898516	8.15098455	72.72	10
11.1	1.6	86.21	6
0	53.27671602	94.7	6
1.5	42.7	107.21	7
14.35341894	1.845439579	93.41	5
12.7	5.3	101.1	4
8.690707816	0.744917813	74.02	9
2.426862302	2.284105696	107.51	5
0.556468172	53.8661191	108.4	6
14.1	0.7	85.01	4
1.646584147	15.70587955	53.21	6
6.592502434	0	123.1	7
1.388571429	52.76571429	91.8	6
18.96086957	0	137.2	5
15.1	0	72.3	5
54.1	0	134.31	9
6.909128395	0	77.13	7
7.844914491	0	124.51	5
13.3	0	116.4	1
23.23283582	0	103.2	6
13.98368336	0	67.1	5
19.6	0	82.81	7
3.599610895	0	84.1	5
18.06294278	0	116.3	3
11.71964746	0	269.9	5
20.8	0	86.6	6
9.9	0	114.8	2
44.5	0	89.6	6
1.037037037	0	165.2	4
0	0	43.8	3
14.2	0.01	54.61	8
11.8	13.4	68.7	4
10	0	65.61	6
0.513204225	0	81.62	4
10.30260411	0	109.11	6
60.4	9.6	131	6
15.4	0	119.4	7
41.5	0	115.62	7
23.8	0.4	106.4	4
7.8	0	35.13	9
0.5	0	46.51	5
4.8	2.9	55.6	5
4.7	0	36.5	6
5.207142857	0	72.9	4
10.3	0	61	6
2.927848101	0	25.7	6
29.6	0	93.1	6
15.26040373	0	69.7	8
39.9	0.3	102.62	8
22.96075308	0	146.8	4
3.230722892	1.66746988	69.2	4
16.14778253	0	119.81	8
9.683090818	0	87.72	14
15.81696751	0	56.9	9
17.82948557	0	83.1	3
15.52081218	0	127.4	1
16.69526917	1.203262643	92.2	10
0	0	95.32	5
1.034701435	0.114966826	74.51	10
21.21021343	0	120.91	6
19.6	0	73.8	4
3.518950437	0	71	3
0.5	0	19.21	5
4.717826013	16.866228	69.01	7
11.4622929	0	70.81	6
13.20175228	0	67.41	6
0	0	120.21	4
10.50946006	0.022360553	100.22	7
12.46824183	0	175.9	6
0	0	141.1	3
0	0	112.82	4
17.80366078	0	122.91	3
6.947450259	24.38998495	88.41	6
0	9.412	90.5	10
3.499746835	0	51.2	8
6.3	0	79.91	4
0	1.923684211	77.4	7
0	0	120.3	6
35.82693749	0.012526901	207.22	8
48.6	3.4	122.2	4
32.1	0	110.7	4
19.02270531	12.04396135	93.2	7
19.10320461	0.145825989	91.01	5
21.00894033	13.97146278	103.72	6
5.536296296	0	80.8	5
24.2	4.4	94.8	7
17.47749793	65.7252387	163.71	8
9.5	0	65.31	4
31.3	2.8	125.82	11
21.10169492	12.97363465	83	6
32.8	0	96.1	2
0	0	88.7	3
29.7	0	76.6	4
0	15.38687885	85.41	8
2.860519148	0	71.41	7
33.3422808	0.325820334	181.71	7
7.310714286	0	80.1	4
8	1.6	109.11	6
4.776387269	0.931978004	69.91	9
0	0	147.8	5
11.17358643	0	134.3	7
0	0	148.1	9
0	5.572905648	151.92	10
3.581828979	0.795961995	67.02	12
16.90779468	0	161.7	2
15.16589862	0	219.4	2
2.979150162	4.533489377	107.91	9
3.596036988	0	136.11	8
0.239055192	52.11403181	102.22	9
11.48292063	0	192.4	4
4.568506119	34.69889171	94.22	10
23.04429066	0	93.8	4
1.268235294	8.185882353	58.8	8
31.6	0	183.3	3
2.243607955	18.39758523	105.3	9
7.075133215	0	91.42	6
0.427499284	0	74.62	5
0	0.771368861	73.82	8
22.21544992	0	73.1	3
1.046828934	25.12389441	114.51	9
9.663754427	0	107.7	6
3.819850187	0	131.6	7
0	18.70978338	66.61	10
0	3.170428346	104.51	8
14.3	0	161.6	6
0	0	121.9	1
5.277803738	0	138.3	3
0.118968583	14.87107291	60.21	11
7.1	0	110.81	5
0	0	57.12	11
14.6	0	112	3
0	3.286681266	55.03	12
6.052471483	0	68.22	10
8.057348703	0	76.6	5
12.58124939	7.525233278	119.71	9
19	24.8	104	3
13.56583903	0	64.61	5
4.590520493	0	121.71	4
5.809465021	0	148.6	5
2.565612811	0.012217204	59.51	7
0	0	139.21	5
0	2.505353602	120.61	8
1.193139679	28.87398022	77.22	8
0	0.014887632	94.73	9
0	0	110.9	4
34.4	0	90.51	5
0	0	47.22	4
0	0	82.83	5
0	0	41.4	1
0.5	0.2	40.4	6
0	11.83777724	114.91	7
5.2	0	248.8	4
0	0.104484619	149.11	8
1.042530569	0	39.22	5
0	0	104.12	6
0	0	217.5	2
30.2	0.01	176.11	6
0	0.1	128.41	9
0	0	59.1	5
0	0	55.21	7
0	0	246.4	1
0	0	174.1	1
0	0	90.7	1
4.816429354	0	104.7	6
8.517824773	1.611480363	118.11	5
0	0	150	1
0	0	45.4	2
1.023645245	20.70038162	74.51	8
18.03085379	0.01134016	150.62	5
5.9	0	166	2
16.6	0.01	99.92	7
11.3	0	98.21	3
13.41779441	0.010734236	149.12	3
22	0	192.21	4
17.6	0	103.1	1
0	0	88.3	1
0	18.56155268	81.42	9
5.302499602	18.6647986	66.61	8
21.05928029	0	143.51	6
0	0	272.3	2
14.06662915	3.62322266	56.81	6
0	0	101.7	1
0	0	52.61	6
0	0	133.01	5
0	0	100	4
7.722900763	0	77.01	9
13.50450636	0	92.01	11
28.5	0	73.6	3
14.6	0	86.6	5
15.32001744	1.464413432	103.32	7
0	0	136.4	6
0	0	16.23	6
11.38942308	0	236.9	5
11.68266932	0	155.7	4
15.58774128	0.012776837	37.73	10
0	13.7	72.82	7
3.594029851	0	51.6	7
0	0	62.91	6
2.9	0	41.71	7
23.9	0	87	6
5.358695652	0	116	10
40.38930092	0	139.61	5
16.6	0	51.1	4
0	0	71.71	9
6.985646039	0	108.41	12
5.875419438	0	103.83	12
0	0	167.3	5
20.07301841	0	135.52	9
24.5978023	0	114.91	11
0	0	52.91	7
22.3	0	143.9	7
21.27410654	0	153.9	5
25.90106383	0	126.1	10
14.03564477	0	102.1	8
0	0	144.9	8
9.5	0	105.9	4
18.32586652	0	147.31	7
10.47777778	0	94.3	8
37.8	0	271.7	5
49.18450704	0	148.6	9
4.640625	0	82.5	8
2.550576806	0	52.51	7
0	0	84.61	9
3.587298618	0	101.51	7
5.397910582	0	47.11	8
2.462652544	0	50.93	9
1.834853217	4.128419738	36.72	9
2.118159806	0	48.6	4
38.4	0	113.1	4
1.450385604	0	80.6	4
2.517145486	3.089224006	111.91	11
6.962190813	10.95689046	96.9	9
0	0	69.8	3
13.2	0	140.6	6
28.3	0	105	5
3.043979058	29.08691099	64.6	8
3.279806543	3.410998804	120.71	10
52.8	0	160	4
0	0	169.2	5
2.4	0	83.1	7
9.927272727	16.9	97.5	14
4.584044017	4.342778542	52.62	13
10.66452523	0	64.82	9
0	0	180.4	4
10.35613161	0	108.2	4
1.284612974	24.72879975	68.32	11
4.140450342	0	79.21	12
3.9	0	62.41	6
7.2	0	88.72	7
6.4	0.01	104.44	8
1.125280092	0	35.61	6
3.761398601	0	79.1	6
5.397809162	0	63.43	7
0	0	140.41	4
37	0	47.01	3
2.405741127	0.886325678	48.52	9
3.920253165	0	130.4	2
25.2	0	153.4	2
5.758037495	0.137096131	103.11	8
0	0	80.9	10
5.2	20.9	84.9	2
2.262207358	0	71.2	10
3.303425775	0	67.5	5
2.464579606	2.786046512	59.9	6
0.462715445	0.011567886	104.03	6
9.9	0.1	50.41	6
