stems	diameter	xcoord	ycoord
1	4	1166	1220
1	9	1246	1248
1	7	1203	1257
2	2	1209	1276
1	6	1278	1282
1	7	1280	1284
2	4	1258	1242
1	10	1349	1222
1	11	1352	1220
1	7	1341	1246
7	10	1361	1287
1	8	1376	1249
1	3	1310	1279
1	7	1312	1285
1	7	1314	1285
2	8	1332	1287
1	8	1338	1295
1	7	1396	1287
1	7	1336	1289
1	3	1304	1274
5	9	1471	1248
1	13	1491	1249
1	5	1464	1224
1	4	1456	1223
1	3	1462	1227
1	8	1481	1238
1	11	1476	1253
1	5	1402	1297
1	9	1474	1289
1	6	1456	1255
1	7	1452	1255
1	8	1482	1243
3	11	1597	1289
1	3	1508	1205
1	4	1506	1206
2	7	1548	1212
1	10	1563	1224
3	9	1589	1230
1	4	1588	1234
1	6	1566	1234
1	6	1581	1242
2	9	1540	1246
1	7	1508	1251
5	11	1513	1263
1	3	1514	1234
1	4	1516	1276
3	6	1538	1274
2	12	1530	1297
1	9	1628	1206
1	5	1626	1202
1	10	1642	1226
1	11	1617	1273
1	12	1659	1286
2	5	1642	1297
3	4	1652	1299
1	5	1688	1274
1	2	1616	1277
1	3	1638	1238
2	11	1775	1272
1	10	1782	1274
1	7	1763	1276
1	3	1769	1272
1	5	1780	1277
1	5	1732	1215
7	11	1707	1216
2	11	1731	1239
1	10	1737	1245
1	3	1722	1248
1	3	1730	1271
1	4	1730	1274
1	5	1752	1214
7	9	1832	1248
1	8	1810	1207
1	5	1845	1229
1	10	1877	1251
3	7	1822	1263
1	8	1888	1226
1	7	1858	1272
2	11	1856	1284
1	8	1883	1256
1	7	1873	1259
1	4	1889	1267
1	10	1848	1297
1	14	1904	1222
1	4	1918	1207
1	3	1908	1206
1	8	1959	1224
2	8	1939	1213
1	6	1946	1244
1	11	1985	1284
1	10	1983	1291
1	8	1906	1293
1	7	1972	1251
1	3	1977	1253
1	4	1912	1206
1	6	2098	1212
1	11	2098	1213
1	4	2093	1213
2	10	2072	1246
1	7	2087	1276
4	11	2126	1267
1	8	2126	1259
2	6	2188	1259
1	5	2188	1260
1	4	2174	1231
1	2	2190	1261
1	7	2100	1283
1	3	2132	1254
4	11	2146	1298
1	8	2135	1299
1	7	2156	1299
1	3	2118	1292
1	8	2137	1293
1	4	2195	1286
1	6	2232	1200
6	10	2234	1204
1	8	2256	1243
1	6	2257	1249
1	7	2223	1271
1	5	2243	1285
1	7	2288	1287
1	5	2242	1287
1	2	2241	1286
4	11	2230	1287
1	9	2210	1274
1	4	2384	1215
3	12	2386	1219
1	5	2390	1217
1	4	2304	1272
1	7	2308	1275
4	9	2310	1274
5	8	2373	1261
1	4	2349	1236
1	10	2456	1246
1	8	2446	1221
12	12	2431	1208
1	10	2418	1284
2	7	2430	1204
1	4	2432	1267
4	10	2554	1223
2	12	2546	1246
1	7	2560	1221
1	8	2588	1278
1	7	2546	1294
1	8	2546	1285
2	10	2699	1279
1	6	2680	1271
6	11	2650	1277
1	3	2681	1203
1	9	2799	1237
1	8	2774	1241
4	11	2762	1224
1	5	2738	1217
1	3	2703	1240
1	10	2702	1273
1	6	2786	1243
1	4	2728	1261
2	10	2817	1229
1	6	2882	1283
5	10	139	1350
6	11	113	1366
1	12	100	1376
1	8	126	1376
1	10	153	1351
4	9	160	1334
15	13	171	1384
1	7	109	1376
1	10	143	1354
6	14	202	1393
1	11	889	1359
1	5	890	1364
1	8	896	1383
1	7	948	1334
1	7	902	1379
2	10	1098	1395
1	4	1086	1384
1	3	1090	1379
4	10	1066	1388
3	4	1016	1369
1	13	1181	1327
2	6	1131	1306
3	10	1111	1331
1	4	1108	1323
1	9	1158	1322
4	7	1115	1333
7	10	1173	1361
1	10	1133	1349
1	6	1111	1355
1	7	1116	1369
1	8	1124	1371
3	10	1179	1391
1	4	1192	1379
2	10	1228	1379
1	10	1234	1391
2	13	1290	1386
1	12	1383	1314
11	10	1342	1317
1	4	1358	1316
1	4	1342	1315
1	7	1328	1342
1	7	1359	1336
1	9	1380	1341
5	6	1387	1343
1	4	1392	1329
1	9	1371	1370
3	13	1382	1378
1	4	1376	1354
1	3	1331	1399
1	3	1326	1391
1	4	1398	1367
2	6	1431	1321
1	8	1466	1341
1	6	1431	1366
1	9	1449	1378
4	11	1452	1303
1	2	1436	1370
1	8	1413	1390
1	2	1441	1393
1	2	1484	1351
2	9	1485	1377
1	10	1484	1379
1	8	1479	1394
1	8	1469	1357
1	4	1509	1352
1	11	1595	1339
3	10	1593	1338
3	11	1591	1347
1	6	1592	1342
1	7	1592	1344
1	8	1561	1338
1	8	1571	1365
1	7	1575	1371
1	9	1590	1378
1	2	1580	1370
1	8	1511	1369
1	7	1503	1362
1	10	1692	1341
1	12	1671	1331
1	10	1647	1311
1	12	1632	1333
2	8	1639	1352
1	6	1634	1351
1	9	1635	1352
1	5	1605	1365
1	3	1609	1351
2	7	1618	1378
4	15	1718	1300
1	9	1781	1346
1	9	1716	1302
1	4	1788	1347
2	7	1790	1390
1	9	1799	1388
1	7	1789	1399
2	16	1838	1321
1	7	1800	1306
1	7	1810	1310
1	3	1821	1323
1	4	1828	1324
1	10	1830	1344
1	9	1801	1364
1	3	1810	1365
1	8	1802	1380
1	4	1815	1365
1	6	1814	1367
1	8	1856	1375
1	4	1886	1307
1	9	1893	1310
2	10	1892	1317
1	6	1872	1328
1	7	1873	1329
1	7	1873	1330
1	8	1874	1331
1	5	1850	1301
1	9	1823	1377
2	11	1978	1324
1	5	1962	1332
1	12	1900	1352
1	5	1910	1343
5	8	1931	1352
1	4	1956	1334
3	11	1972	1372
1	9	1980	1375
6	6	1982	1374
1	7	1965	1384
1	10	2098	1322
1	5	2070	1301
2	10	2060	1307
1	3	2059	1311
1	3	2062	1310
4	6	2055	1364
1	7	2097	1399
1	4	2081	1387
1	2	2197	1306
1	4	2138	1399
1	2	2165	1397
1	5	2202	1301
1	6	2245	1305
2	11	2243	1311
6	10	2259	1312
1	10	2254	1341
4	10	2234	1353
5	9	2261	1354
1	13	2257	1378
7	12	2284	1352
1	4	2250	1393
5	11	2314	1300
2	9	2331	1341
1	6	2331	1333
1	6	2438	1399
1	12	2562	1344
1	11	2574	1357
3	11	2761	1306
5	11	2753	1311
1	10	2745	1313
1	10	2700	1364
3	12	11	1452
1	10	20	1458
3	11	16	1467
1	14	26	1454
1	11	92	1420
5	11	98	1416
3	10	114	1417
2	13	178	1499
3	13	192	1476
1	5	226	1428
3	7	354	1457
5	12	322	1469
1	11	321	1481
1	8	769	1436
1	11	791	1439
1	8	817	1417
3	11	897	1445
1	9	879	1488
1	3	986	1451
7	12	983	1487
2	4	972	1478
1	10	903	1411
1	3	981	1493
1	4	1099	1423
5	11	1084	1418
3	11	1094	1429
4	4	1079	1434
2	8	1009	1428
1	9	1035	1491
1	7	1082	1403
1	4	1080	1438
4	10	1109	1447
1	10	1126	1456
6	11	1173	1471
1	12	1198	1466
1	3	1131	1477
1	11	1225	1401
1	12	1209	1457
1	4	1288	1402
1	12	1296	1414
1	10	1294	1426
1	9	1271	1467
1	10	1227	1454
1	8	1208	1464
1	10	1256	1497
1	4	1206	1499
1	7	1299	1497
1	4	1266	1486
1	4	1208	1459
1	11	1342	1419
1	10	1306	1432
1	10	1319	1442
1	14	1334	1457
1	10	1338	1446
1	11	1325	1461
1	10	1339	1467
1	3	1348	1451
1	11	1390	1490
1	3	1342	1491
1	8	1382	1488
1	3	1415	1429
1	7	1483	1467
1	11	1576	1441
1	3	1579	1443
1	7	1588	1426
1	6	1646	1414
3	10	1651	1418
1	10	1604	1402
1	6	1610	1469
2	5	1622	1465
1	12	1643	1468
2	3	1644	1499
1	2	1646	1499
1	10	1760	1403
1	3	1761	1404
1	7	1741	1412
1	11	1785	1499
1	2	1858	1406
2	12	1897	1448
1	7	1899	1453
1	10	1858	1461
1	5	1833	1486
1	5	1849	1499
1	13	1899	1499
1	10	1926	1444
1	3	1925	1443
1	9	2073	1452
1	5	2092	1467
1	4	2092	1412
2	10	2137	1422
1	10	2153	1499
1	9	2134	1433
1	8	2160	1473
1	7	2260	1403
1	6	2264	1404
1	5	2261	1427
1	10	2222	1442
1	6	2206	1482
1	12	2366	1422
2	14	2428	1482
1	7	2515	1420
