deathtime	status	id	plotc	SOWNDIV	FUNCGR	GRASS	LEG	SHERB	THERB	GLST
1	0	3	B2A06	4	2	0	1	1	0	LS
1	0	4	B2A06	4	2	0	1	1	0	LS
1	0	5	B2A06	4	2	0	1	1	0	LS
1	0	6	B2A06	4	2	0	1	1	0	LS
1	0	7	B2A06	4	2	0	1	1	0	LS
1	0	8	B2A06	4	2	0	1	1	0	LS
1	0	9	B2A06	4	2	0	1	1	0	LS
1	0	10	B2A06	4	2	0	1	1	0	LS
7.5	0	11	B2A06	4	2	0	1	1	0	LS
7.5	0	12	B2A06	4	2	0	1	1	0	LS
7.5	0	13	B2A06	4	2	0	1	1	0	LS
7.5	0	14	B2A06	4	2	0	1	1	0	LS
7.5	0	15	B2A06	4	2	0	1	1	0	LS
7.5	0	16	B2A06	4	2	0	1	1	0	LS
7.5	0	17	B2A06	4	2	0	1	1	0	LS
12.5	0	18	B2A06	4	2	0	1	1	0	LS
16.5	0	19	B2A06	4	2	0	1	1	0	LS
16.5	0	20	B2A06	4	2	0	1	1	0	LS
1	0	1	B2A08	2	2	0	1	0	1	LT
1	0	2	B2A08	2	2	0	1	0	1	LT
1	0	3	B2A08	2	2	0	1	0	1	LT
1	0	4	B2A08	2	2	0	1	0	1	LT
1	0	5	B2A08	2	2	0	1	0	1	LT
1	0	6	B2A08	2	2	0	1	0	1	LT
1	0	7	B2A08	2	2	0	1	0	1	LT
3	0	8	B2A08	2	2	0	1	0	1	LT
3	0	9	B2A08	2	2	0	1	0	1	LT
3	0	10	B2A08	2	2	0	1	0	1	LT
3	0	11	B2A08	2	2	0	1	0	1	LT
7.5	0	12	B2A08	2	2	0	1	0	1	LT
7.5	0	13	B2A08	2	2	0	1	0	1	LT
7.5	0	14	B2A08	2	2	0	1	0	1	LT
7.5	0	15	B2A08	2	2	0	1	0	1	LT
7.5	0	16	B2A08	2	2	0	1	0	1	LT
12.5	0	17	B2A08	2	2	0	1	0	1	LT
12.5	0	18	B2A08	2	2	0	1	0	1	LT
16.5	0	19	B2A08	2	2	0	1	0	1	LT
20.5	0	20	B2A08	2	2	0	1	0	1	LT
27.5	0	21	B2A08	2	2	0	1	0	1	LT
1	0	1	B2A09	4	1	0	0	1	0	S
1	0	2	B2A09	4	1	0	0	1	0	S
1	0	3	B2A09	4	1	0	0	1	0	S
1	0	4	B2A09	4	1	0	0	1	0	S
1	0	5	B2A09	4	1	0	0	1	0	S
1	0	6	B2A09	4	1	0	0	1	0	S
1	0	7	B2A09	4	1	0	0	1	0	S
7.5	0	8	B2A09	4	1	0	0	1	0	S
7.5	0	9	B2A09	4	1	0	0	1	0	S
7.5	0	10	B2A09	4	1	0	0	1	0	S
7.5	0	11	B2A09	4	1	0	0	1	0	S
7.5	0	12	B2A09	4	1	0	0	1	0	S
7.5	0	13	B2A09	4	1	0	0	1	0	S
7.5	0	14	B2A09	4	1	0	0	1	0	S
7.5	0	15	B2A09	4	1	0	0	1	0	S
16.5	0	16	B2A09	4	1	0	0	1	0	S
16.5	0	17	B2A09	4	1	0	0	1	0	S
16.5	0	18	B2A09	4	1	0	0	1	0	S
20.5	0	19	B2A09	4	1	0	0	1	0	S
25	0	20	B2A09	4	1	0	0	1	0	S
1	0	1	B2A10	16	2	1	0	1	0	GS
1	0	2	B2A10	16	2	1	0	1	0	GS
1	0	3	B2A10	16	2	1	0	1	0	GS
1	0	4	B2A10	16	2	1	0	1	0	GS
3	0	5	B2A10	16	2	1	0	1	0	GS
3	0	6	B2A10	16	2	1	0	1	0	GS
3	0	7	B2A10	16	2	1	0	1	0	GS
7.5	0	8	B2A10	16	2	1	0	1	0	GS
7.5	0	9	B2A10	16	2	1	0	1	0	GS
7.5	0	10	B2A10	16	2	1	0	1	0	GS
7.5	0	11	B2A10	16	2	1	0	1	0	GS
7.5	0	12	B2A10	16	2	1	0	1	0	GS
16.5	0	13	B2A10	16	2	1	0	1	0	GS
16.5	0	14	B2A10	16	2	1	0	1	0	GS
20.5	0	15	B2A10	16	2	1	0	1	0	GS
20.5	0	16	B2A10	16	2	1	0	1	0	GS
25	0	17	B2A10	16	2	1	0	1	0	GS
31	0	18	B2A10	16	2	1	0	1	0	GS
1	0	1	B2A12	8	1	0	0	0	1	T
1	0	2	B2A12	8	1	0	0	0	1	T
1	0	3	B2A12	8	1	0	0	0	1	T
1	0	4	B2A12	8	1	0	0	0	1	T
1	0	5	B2A12	8	1	0	0	0	1	T
1	0	6	B2A12	8	1	0	0	0	1	T
3	0	7	B2A12	8	1	0	0	0	1	T
3	0	8	B2A12	8	1	0	0	0	1	T
7.5	0	9	B2A12	8	1	0	0	0	1	T
7.5	0	10	B2A12	8	1	0	0	0	1	T
7.5	0	11	B2A12	8	1	0	0	0	1	T
7.5	0	12	B2A12	8	1	0	0	0	1	T
7.5	0	13	B2A12	8	1	0	0	0	1	T
7.5	0	14	B2A12	8	1	0	0	0	1	T
7.5	0	15	B2A12	8	1	0	0	0	1	T
16.5	0	16	B2A12	8	1	0	0	0	1	T
20.5	0	17	B2A12	8	1	0	0	0	1	T
20.5	0	18	B2A12	8	1	0	0	0	1	T
20.5	0	19	B2A12	8	1	0	0	0	1	T
1	0	1	B2A13	1	1	0	0	1	0	S
1	0	2	B2A13	1	1	0	0	1	0	S
1	0	3	B2A13	1	1	0	0	1	0	S
1	0	4	B2A13	1	1	0	0	1	0	S
1	0	5	B2A13	1	1	0	0	1	0	S
1	0	6	B2A13	1	1	0	0	1	0	S
1	0	7	B2A13	1	1	0	0	1	0	S
1	0	8	B2A13	1	1	0	0	1	0	S
7.5	0	9	B2A13	1	1	0	0	1	0	S
7.5	0	10	B2A13	1	1	0	0	1	0	S
12.5	0	11	B2A13	1	1	0	0	1	0	S
20.5	0	12	B2A13	1	1	0	0	1	0	S
20.5	0	13	B2A13	1	1	0	0	1	0	S
23	0	14	B2A13	1	1	0	0	1	0	S
31	0	15	B2A13	1	1	0	0	1	0	S
31	0	16	B2A13	1	1	0	0	1	0	S
35	0	17	B2A13	1	1	0	0	1	0	S
45.5	0	18	B2A13	1	1	0	0	1	0	S
45.5	0	19	B2A13	1	1	0	0	1	0	S
1	0	1	B2A14	8	4	1	1	1	1	GLST
1	0	2	B2A14	8	4	1	1	1	1	GLST
1	0	3	B2A14	8	4	1	1	1	1	GLST
1	0	4	B2A14	8	4	1	1	1	1	GLST
3	0	5	B2A14	8	4	1	1	1	1	GLST
3	0	6	B2A14	8	4	1	1	1	1	GLST
3	0	7	B2A14	8	4	1	1	1	1	GLST
12.5	0	8	B2A14	8	4	1	1	1	1	GLST
16.5	0	9	B2A14	8	4	1	1	1	1	GLST
20.5	0	10	B2A14	8	4	1	1	1	1	GLST
20.5	0	11	B2A14	8	4	1	1	1	1	GLST
20.5	0	12	B2A14	8	4	1	1	1	1	GLST
39.5	0	13	B2A14	8	4	1	1	1	1	GLST
45.5	0	14	B2A14	8	4	1	1	1	1	GLST
45.5	0	15	B2A14	8	4	1	1	1	1	GLST
45.5	0	16	B2A14	8	4	1	1	1	1	GLST
45.5	0	17	B2A14	8	4	1	1	1	1	GLST
49	1	18	B2A14	8	4	1	1	1	1	GLST
1	0	1	B2A15	1	1	0	1	0	0	L
1	0	2	B2A15	1	1	0	1	0	0	L
1	0	3	B2A15	1	1	0	1	0	0	L
1	0	4	B2A15	1	1	0	1	0	0	L
1	0	5	B2A15	1	1	0	1	0	0	L
1	0	6	B2A15	1	1	0	1	0	0	L
1	0	7	B2A15	1	1	0	1	0	0	L
1	0	8	B2A15	1	1	0	1	0	0	L
1	0	9	B2A15	1	1	0	1	0	0	L
7.5	0	10	B2A15	1	1	0	1	0	0	L
7.5	0	11	B2A15	1	1	0	1	0	0	L
20.5	0	12	B2A15	1	1	0	1	0	0	L
20.5	0	13	B2A15	1	1	0	1	0	0	L
20.5	0	14	B2A15	1	1	0	1	0	0	L
20.5	0	15	B2A15	1	1	0	1	0	0	L
23	0	16	B2A15	1	1	0	1	0	0	L
23	0	17	B2A15	1	1	0	1	0	0	L
31	0	18	B2A15	1	1	0	1	0	0	L
49	1	19	B2A15	1	1	0	1	0	0	L
1	0	1	B2A16	4	3	0	1	1	1	LST
1	0	2	B2A16	4	3	0	1	1	1	LST
1	0	3	B2A16	4	3	0	1	1	1	LST
1	0	4	B2A16	4	3	0	1	1	1	LST
1	0	5	B2A16	4	3	0	1	1	1	LST
1	0	6	B2A16	4	3	0	1	1	1	LST
1	0	7	B2A16	4	3	0	1	1	1	LST
3	0	8	B2A16	4	3	0	1	1	1	LST
12.5	0	9	B2A16	4	3	0	1	1	1	LST
20.5	0	10	B2A16	4	3	0	1	1	1	LST
23	0	11	B2A16	4	3	0	1	1	1	LST
49	1	12	B2A16	4	3	0	1	1	1	LST
49	1	13	B2A16	4	3	0	1	1	1	LST
49	1	14	B2A16	4	3	0	1	1	1	LST
49	1	15	B2A16	4	3	0	1	1	1	LST
49	1	16	B2A16	4	3	0	1	1	1	LST
49	1	17	B2A16	4	3	0	1	1	1	LST
1	0	1	B2A17	8	2	0	1	1	0	LS
1	0	2	B2A17	8	2	0	1	1	0	LS
1	0	3	B2A17	8	2	0	1	1	0	LS
1	0	4	B2A17	8	2	0	1	1	0	LS
1	0	5	B2A17	8	2	0	1	1	0	LS
1	0	6	B2A17	8	2	0	1	1	0	LS
7.5	0	7	B2A17	8	2	0	1	1	0	LS
7.5	0	8	B2A17	8	2	0	1	1	0	LS
7.5	0	9	B2A17	8	2	0	1	1	0	LS
7.5	0	10	B2A17	8	2	0	1	1	0	LS
12.5	0	11	B2A17	8	2	0	1	1	0	LS
12.5	0	12	B2A17	8	2	0	1	1	0	LS
12.5	0	13	B2A17	8	2	0	1	1	0	LS
16.5	0	14	B2A17	8	2	0	1	1	0	LS
20.5	0	15	B2A17	8	2	0	1	1	0	LS
20.5	0	16	B2A17	8	2	0	1	1	0	LS
20.5	0	17	B2A17	8	2	0	1	1	0	LS
20.5	0	18	B2A17	8	2	0	1	1	0	LS
25	0	19	B2A17	8	2	0	1	1	0	LS
49	1	20	B2A17	8	2	0	1	1	0	LS
1	0	1	B2A18	16	4	1	1	1	1	GLST
1	0	2	B2A18	16	4	1	1	1	1	GLST
3	0	3	B2A18	16	4	1	1	1	1	GLST
12.5	0	4	B2A18	16	4	1	1	1	1	GLST
12.5	0	5	B2A18	16	4	1	1	1	1	GLST
12.5	0	6	B2A18	16	4	1	1	1	1	GLST
12.5	0	7	B2A18	16	4	1	1	1	1	GLST
12.5	0	8	B2A18	16	4	1	1	1	1	GLST
12.5	0	9	B2A18	16	4	1	1	1	1	GLST
12.5	0	10	B2A18	16	4	1	1	1	1	GLST
16.5	0	11	B2A18	16	4	1	1	1	1	GLST
16.5	0	12	B2A18	16	4	1	1	1	1	GLST
20.5	0	13	B2A18	16	4	1	1	1	1	GLST
20.5	0	14	B2A18	16	4	1	1	1	1	GLST
20.5	0	15	B2A18	16	4	1	1	1	1	GLST
20.5	0	16	B2A18	16	4	1	1	1	1	GLST
20.5	0	17	B2A18	16	4	1	1	1	1	GLST
23	0	18	B2A18	16	4	1	1	1	1	GLST
23	0	19	B2A18	16	4	1	1	1	1	GLST
31	0	20	B2A18	16	4	1	1	1	1	GLST
1	0	1	B2A19	2	1	0	0	1	0	S
1	0	2	B2A19	2	1	0	0	1	0	S
1	0	3	B2A19	2	1	0	0	1	0	S
1	0	4	B2A19	2	1	0	0	1	0	S
1	0	5	B2A19	2	1	0	0	1	0	S
7.5	0	6	B2A19	2	1	0	0	1	0	S
7.5	0	7	B2A19	2	1	0	0	1	0	S
7.5	0	8	B2A19	2	1	0	0	1	0	S
7.5	0	9	B2A19	2	1	0	0	1	0	S
7.5	0	10	B2A19	2	1	0	0	1	0	S
7.5	0	11	B2A19	2	1	0	0	1	0	S
12.5	0	12	B2A19	2	1	0	0	1	0	S
12.5	0	13	B2A19	2	1	0	0	1	0	S
20.5	0	14	B2A19	2	1	0	0	1	0	S
20.5	0	15	B2A19	2	1	0	0	1	0	S
20.5	0	16	B2A19	2	1	0	0	1	0	S
20.5	0	17	B2A19	2	1	0	0	1	0	S
20.5	0	18	B2A19	2	1	0	0	1	0	S
20.5	0	19	B2A19	2	1	0	0	1	0	S
27.5	0	20	B2A19	2	1	0	0	1	0	S
1	0	1	B2A20	2	2	0	1	1	0	LS
1	0	2	B2A20	2	2	0	1	1	0	LS
1	0	3	B2A20	2	2	0	1	1	0	LS
1	0	4	B2A20	2	2	0	1	1	0	LS
1	0	5	B2A20	2	2	0	1	1	0	LS
1	0	6	B2A20	2	2	0	1	1	0	LS
1	0	7	B2A20	2	2	0	1	1	0	LS
1	0	8	B2A20	2	2	0	1	1	0	LS
1	0	9	B2A20	2	2	0	1	1	0	LS
1	0	10	B2A20	2	2	0	1	1	0	LS
1	0	11	B2A20	2	2	0	1	1	0	LS
1	0	12	B2A20	2	2	0	1	1	0	LS
3	0	13	B2A20	2	2	0	1	1	0	LS
7.5	0	14	B2A20	2	2	0	1	1	0	LS
7.5	0	15	B2A20	2	2	0	1	1	0	LS
7.5	0	16	B2A20	2	2	0	1	1	0	LS
12.5	0	17	B2A20	2	2	0	1	1	0	LS
20.5	0	18	B2A20	2	2	0	1	1	0	LS
20.5	0	19	B2A20	2	2	0	1	1	0	LS
31	0	20	B2A20	2	2	0	1	1	0	LS
1	0	1	B2A21	8	3	0	1	1	1	LST
1	0	2	B2A21	8	3	0	1	1	1	LST
1	0	3	B2A21	8	3	0	1	1	1	LST
1	0	4	B2A21	8	3	0	1	1	1	LST
1	0	5	B2A21	8	3	0	1	1	1	LST
1	0	6	B2A21	8	3	0	1	1	1	LST
3	0	7	B2A21	8	3	0	1	1	1	LST
7.5	0	8	B2A21	8	3	0	1	1	1	LST
7.5	0	9	B2A21	8	3	0	1	1	1	LST
12.5	0	10	B2A21	8	3	0	1	1	1	LST
12.5	0	11	B2A21	8	3	0	1	1	1	LST
12.5	0	12	B2A21	8	3	0	1	1	1	LST
12.5	0	13	B2A21	8	3	0	1	1	1	LST
16.5	0	14	B2A21	8	3	0	1	1	1	LST
16.5	0	15	B2A21	8	3	0	1	1	1	LST
16.5	0	16	B2A21	8	3	0	1	1	1	LST
16.5	0	17	B2A21	8	3	0	1	1	1	LST
20.5	0	18	B2A21	8	3	0	1	1	1	LST
20.5	0	19	B2A21	8	3	0	1	1	1	LST
23	0	20	B2A21	8	3	0	1	1	1	LST
1	0	1	B2A22	16	3	1	1	0	1	GLT
1	0	2	B2A22	16	3	1	1	0	1	GLT
1	0	3	B2A22	16	3	1	1	0	1	GLT
1	0	4	B2A22	16	3	1	1	0	1	GLT
3	0	5	B2A22	16	3	1	1	0	1	GLT
3	0	6	B2A22	16	3	1	1	0	1	GLT
3	0	7	B2A22	16	3	1	1	0	1	GLT
16.5	0	8	B2A22	16	3	1	1	0	1	GLT
16.5	0	9	B2A22	16	3	1	1	0	1	GLT
20.5	0	10	B2A22	16	3	1	1	0	1	GLT
20.5	0	11	B2A22	16	3	1	1	0	1	GLT
20.5	0	12	B2A22	16	3	1	1	0	1	GLT
20.5	0	13	B2A22	16	3	1	1	0	1	GLT
20.5	0	14	B2A22	16	3	1	1	0	1	GLT
20.5	0	15	B2A22	16	3	1	1	0	1	GLT
20.5	0	16	B2A22	16	3	1	1	0	1	GLT
27.5	0	17	B2A22	16	3	1	1	0	1	GLT
49	1	18	B2A22	16	3	1	1	0	1	GLT
49	1	19	B2A22	16	3	1	1	0	1	GLT
1.5	0	1	B3A01	1	1	0	0	0	1	T
1.5	0	2	B3A01	1	1	0	0	0	1	T
1.5	0	3	B3A01	1	1	0	0	0	1	T
1.5	0	4	B3A01	1	1	0	0	0	1	T
1.5	0	5	B3A01	1	1	0	0	0	1	T
1.5	0	6	B3A01	1	1	0	0	0	1	T
4	0	7	B3A01	1	1	0	0	0	1	T
4	0	8	B3A01	1	1	0	0	0	1	T
4	0	9	B3A01	1	1	0	0	0	1	T
4	0	10	B3A01	1	1	0	0	0	1	T
4	0	11	B3A01	1	1	0	0	0	1	T
4	0	12	B3A01	1	1	0	0	0	1	T
4	0	13	B3A01	1	1	0	0	0	1	T
4	0	14	B3A01	1	1	0	0	0	1	T
10	0	15	B3A01	1	1	0	0	0	1	T
10	0	16	B3A01	1	1	0	0	0	1	T
10	0	17	B3A01	1	1	0	0	0	1	T
12	0	18	B3A01	1	1	0	0	0	1	T
12	0	19	B3A01	1	1	0	0	0	1	T
17	0	20	B3A01	1	1	0	0	0	1	T
1.5	0	1	B3A02	2	2	1	0	0	1	GT
1.5	0	2	B3A02	2	2	1	0	0	1	GT
1.5	0	3	B3A02	2	2	1	0	0	1	GT
1.5	0	4	B3A02	2	2	1	0	0	1	GT
1.5	0	5	B3A02	2	2	1	0	0	1	GT
17	0	6	B3A02	2	2	1	0	0	1	GT
17	0	7	B3A02	2	2	1	0	0	1	GT
17	0	8	B3A02	2	2	1	0	0	1	GT
22	0	9	B3A02	2	2	1	0	0	1	GT
22	0	10	B3A02	2	2	1	0	0	1	GT
22	0	11	B3A02	2	2	1	0	0	1	GT
22	0	12	B3A02	2	2	1	0	0	1	GT
26	0	13	B3A02	2	2	1	0	0	1	GT
26	0	14	B3A02	2	2	1	0	0	1	GT
30.5	0	15	B3A02	2	2	1	0	0	1	GT
30.5	0	16	B3A02	2	2	1	0	0	1	GT
38.5	0	17	B3A02	2	2	1	0	0	1	GT
45	0	18	B3A02	2	2	1	0	0	1	GT
45	0	19	B3A02	2	2	1	0	0	1	GT
49	0	20	B3A02	2	2	1	0	0	1	GT
56	1	21	B3A02	2	2	1	0	0	1	GT
1.5	0	1	B3A03	4	3	1	1	1	0	GLS
1.5	0	2	B3A03	4	3	1	1	1	0	GLS
1.5	0	3	B3A03	4	3	1	1	1	0	GLS
1.5	0	4	B3A03	4	3	1	1	1	0	GLS
1.5	0	5	B3A03	4	3	1	1	1	0	GLS
4	0	6	B3A03	4	3	1	1	1	0	GLS
22	0	7	B3A03	4	3	1	1	1	0	GLS
22	0	8	B3A03	4	3	1	1	1	0	GLS
22	0	9	B3A03	4	3	1	1	1	0	GLS
35	0	10	B3A03	4	3	1	1	1	0	GLS
38.5	0	11	B3A03	4	3	1	1	1	0	GLS
38.5	0	12	B3A03	4	3	1	1	1	0	GLS
49	0	13	B3A03	4	3	1	1	1	0	GLS
54	0	14	B3A03	4	3	1	1	1	0	GLS
56	1	15	B3A03	4	3	1	1	1	0	GLS
1.5	0	1	B3A04	8	1	1	0	0	0	G
6	0	2	B3A04	8	1	1	0	0	0	G
6	0	3	B3A04	8	1	1	0	0	0	G
22	0	4	B3A04	8	1	1	0	0	0	G
22	0	5	B3A04	8	1	1	0	0	0	G
22	0	6	B3A04	8	1	1	0	0	0	G
22	0	7	B3A04	8	1	1	0	0	0	G
22	0	8	B3A04	8	1	1	0	0	0	G
22	0	9	B3A04	8	1	1	0	0	0	G
22	0	10	B3A04	8	1	1	0	0	0	G
22	0	11	B3A04	8	1	1	0	0	0	G
30.5	0	12	B3A04	8	1	1	0	0	0	G
35	0	13	B3A04	8	1	1	0	0	0	G
38.5	0	14	B3A04	8	1	1	0	0	0	G
38.5	0	15	B3A04	8	1	1	0	0	0	G
49	0	16	B3A04	8	1	1	0	0	0	G
49	0	17	B3A04	8	1	1	0	0	0	G
56	1	18	B3A04	8	1	1	0	0	0	G
56	1	19	B3A04	8	1	1	0	0	0	G
56	1	20	B3A04	8	1	1	0	0	0	G
1.5	0	1	B3A05	8	3	1	1	0	1	GLT
1.5	0	2	B3A05	8	3	1	1	0	1	GLT
1.5	0	3	B3A05	8	3	1	1	0	1	GLT
17	0	4	B3A05	8	3	1	1	0	1	GLT
17	0	5	B3A05	8	3	1	1	0	1	GLT
17	0	6	B3A05	8	3	1	1	0	1	GLT
17	0	7	B3A05	8	3	1	1	0	1	GLT
22	0	8	B3A05	8	3	1	1	0	1	GLT
22	0	9	B3A05	8	3	1	1	0	1	GLT
22	0	10	B3A05	8	3	1	1	0	1	GLT
26	0	11	B3A05	8	3	1	1	0	1	GLT
26	0	12	B3A05	8	3	1	1	0	1	GLT
33	0	13	B3A05	8	3	1	1	0	1	GLT
38.5	0	14	B3A05	8	3	1	1	0	1	GLT
38.5	0	15	B3A05	8	3	1	1	0	1	GLT
45	0	16	B3A05	8	3	1	1	0	1	GLT
56	1	17	B3A05	8	3	1	1	0	1	GLT
56	1	18	B3A05	8	3	1	1	0	1	GLT
1.5	0	1	B3A06	1	1	1	0	0	0	G
1.5	0	2	B3A06	1	1	1	0	0	0	G
1.5	0	3	B3A06	1	1	1	0	0	0	G
17	0	4	B3A06	1	1	1	0	0	0	G
17	0	5	B3A06	1	1	1	0	0	0	G
17	0	6	B3A06	1	1	1	0	0	0	G
22	0	7	B3A06	1	1	1	0	0	0	G
22	0	8	B3A06	1	1	1	0	0	0	G
30.5	0	9	B3A06	1	1	1	0	0	0	G
30.5	0	10	B3A06	1	1	1	0	0	0	G
35	0	11	B3A06	1	1	1	0	0	0	G
38.5	0	12	B3A06	1	1	1	0	0	0	G
38.5	0	13	B3A06	1	1	1	0	0	0	G
38.5	0	14	B3A06	1	1	1	0	0	0	G
38.5	0	15	B3A06	1	1	1	0	0	0	G
38.5	0	16	B3A06	1	1	1	0	0	0	G
42.5	0	17	B3A06	1	1	1	0	0	0	G
56	1	18	B3A06	1	1	1	0	0	0	G
56	1	19	B3A06	1	1	1	0	0	0	G
56	1	20	B3A06	1	1	1	0	0	0	G
1.5	0	1	B3A07	8	4	1	1	1	1	GLST
1.5	0	2	B3A07	8	4	1	1	1	1	GLST
1.5	0	3	B3A07	8	4	1	1	1	1	GLST
1.5	0	4	B3A07	8	4	1	1	1	1	GLST
1.5	0	5	B3A07	8	4	1	1	1	1	GLST
1.5	0	6	B3A07	8	4	1	1	1	1	GLST
1.5	0	7	B3A07	8	4	1	1	1	1	GLST
12	0	8	B3A07	8	4	1	1	1	1	GLST
12	0	9	B3A07	8	4	1	1	1	1	GLST
12	0	10	B3A07	8	4	1	1	1	1	GLST
22	0	11	B3A07	8	4	1	1	1	1	GLST
22	0	12	B3A07	8	4	1	1	1	1	GLST
30.5	0	13	B3A07	8	4	1	1	1	1	GLST
30.5	0	14	B3A07	8	4	1	1	1	1	GLST
30.5	0	15	B3A07	8	4	1	1	1	1	GLST
30.5	0	16	B3A07	8	4	1	1	1	1	GLST
30.5	0	17	B3A07	8	4	1	1	1	1	GLST
30.5	0	18	B3A07	8	4	1	1	1	1	GLST
33	0	19	B3A07	8	4	1	1	1	1	GLST
1.5	0	1	B3A08	2	1	1	0	0	0	G
22	0	2	B3A08	2	1	1	0	0	0	G
22	0	3	B3A08	2	1	1	0	0	0	G
22	0	4	B3A08	2	1	1	0	0	0	G
22	0	5	B3A08	2	1	1	0	0	0	G
22	0	6	B3A08	2	1	1	0	0	0	G
22	0	7	B3A08	2	1	1	0	0	0	G
22	0	8	B3A08	2	1	1	0	0	0	G
22	0	9	B3A08	2	1	1	0	0	0	G
26	0	10	B3A08	2	1	1	0	0	0	G
26	0	11	B3A08	2	1	1	0	0	0	G
26	0	12	B3A08	2	1	1	0	0	0	G
30.5	0	13	B3A08	2	1	1	0	0	0	G
38.5	0	14	B3A08	2	1	1	0	0	0	G
38.5	0	15	B3A08	2	1	1	0	0	0	G
38.5	0	16	B3A08	2	1	1	0	0	0	G
42.5	0	17	B3A08	2	1	1	0	0	0	G
42.5	0	18	B3A08	2	1	1	0	0	0	G
45	0	19	B3A08	2	1	1	0	0	0	G
56	1	20	B3A08	2	1	1	0	0	0	G
1.5	0	1	B3A09	16	1	1	0	0	0	G
1.5	0	2	B3A09	16	1	1	0	0	0	G
1.5	0	3	B3A09	16	1	1	0	0	0	G
1.5	0	4	B3A09	16	1	1	0	0	0	G
22	0	5	B3A09	16	1	1	0	0	0	G
22	0	6	B3A09	16	1	1	0	0	0	G
26	0	7	B3A09	16	1	1	0	0	0	G
26	0	8	B3A09	16	1	1	0	0	0	G
26	0	9	B3A09	16	1	1	0	0	0	G
30.5	0	10	B3A09	16	1	1	0	0	0	G
33	0	11	B3A09	16	1	1	0	0	0	G
33	0	12	B3A09	16	1	1	0	0	0	G
35	0	13	B3A09	16	1	1	0	0	0	G
38.5	0	14	B3A09	16	1	1	0	0	0	G
45	0	15	B3A09	16	1	1	0	0	0	G
45	0	16	B3A09	16	1	1	0	0	0	G
45	0	17	B3A09	16	1	1	0	0	0	G
54	0	18	B3A09	16	1	1	0	0	0	G
56	1	19	B3A09	16	1	1	0	0	0	G
56	1	20	B3A09	16	1	1	0	0	0	G
56	1	21	B3A09	16	1	1	0	0	0	G
1.5	0	1	B3A11	4	2	1	0	1	0	GS
1.5	0	2	B3A11	4	2	1	0	1	0	GS
1.5	0	3	B3A11	4	2	1	0	1	0	GS
1.5	0	4	B3A11	4	2	1	0	1	0	GS
1.5	0	5	B3A11	4	2	1	0	1	0	GS
22	0	6	B3A11	4	2	1	0	1	0	GS
22	0	7	B3A11	4	2	1	0	1	0	GS
22	0	8	B3A11	4	2	1	0	1	0	GS
30.5	0	9	B3A11	4	2	1	0	1	0	GS
30.5	0	10	B3A11	4	2	1	0	1	0	GS
30.5	0	11	B3A11	4	2	1	0	1	0	GS
38.5	0	12	B3A11	4	2	1	0	1	0	GS
56	1	13	B3A11	4	2	1	0	1	0	GS
56	1	14	B3A11	4	2	1	0	1	0	GS
56	1	15	B3A11	4	2	1	0	1	0	GS
56	1	16	B3A11	4	2	1	0	1	0	GS
1.5	0	1	B3A12	1	1	0	1	0	0	L
1.5	0	2	B3A12	1	1	0	1	0	0	L
1.5	0	3	B3A12	1	1	0	1	0	0	L
1.5	0	4	B3A12	1	1	0	1	0	0	L
1.5	0	5	B3A12	1	1	0	1	0	0	L
1.5	0	6	B3A12	1	1	0	1	0	0	L
4	0	7	B3A12	1	1	0	1	0	0	L
6	0	8	B3A12	1	1	0	1	0	0	L
12	0	9	B3A12	1	1	0	1	0	0	L
12	0	10	B3A12	1	1	0	1	0	0	L
22	0	11	B3A12	1	1	0	1	0	0	L
30.5	0	12	B3A12	1	1	0	1	0	0	L
42.5	0	13	B3A12	1	1	0	1	0	0	L
49	0	14	B3A12	1	1	0	1	0	0	L
54	0	15	B3A12	1	1	0	1	0	0	L
56	1	16	B3A12	1	1	0	1	0	0	L
56	1	17	B3A12	1	1	0	1	0	0	L
56	1	18	B3A12	1	1	0	1	0	0	L
1.5	0	1	B3A13	4	1	1	0	0	0	G
1.5	0	2	B3A13	4	1	1	0	0	0	G
1.5	0	3	B3A13	4	1	1	0	0	0	G
1.5	0	4	B3A13	4	1	1	0	0	0	G
1.5	0	5	B3A13	4	1	1	0	0	0	G
4	0	6	B3A13	4	1	1	0	0	0	G
12	0	7	B3A13	4	1	1	0	0	0	G
22	0	8	B3A13	4	1	1	0	0	0	G
22	0	9	B3A13	4	1	1	0	0	0	G
26	0	10	B3A13	4	1	1	0	0	0	G
33	0	11	B3A13	4	1	1	0	0	0	G
38.5	0	12	B3A13	4	1	1	0	0	0	G
42.5	0	13	B3A13	4	1	1	0	0	0	G
49	0	14	B3A13	4	1	1	0	0	0	G
49	0	15	B3A13	4	1	1	0	0	0	G
56	1	16	B3A13	4	1	1	0	0	0	G
56	1	17	B3A13	4	1	1	0	0	0	G
56	1	18	B3A13	4	1	1	0	0	0	G
56	1	19	B3A13	4	1	1	0	0	0	G
56	1	20	B3A13	4	1	1	0	0	0	G
56	1	21	B3A13	4	1	1	0	0	0	G
56	1	22	B3A13	4	1	1	0	0	0	G
1.5	0	1	B3A14	60	4	1	1	1	1	GLST
1.5	0	2	B3A14	60	4	1	1	1	1	GLST
1.5	0	3	B3A14	60	4	1	1	1	1	GLST
4	0	4	B3A14	60	4	1	1	1	1	GLST
