"X.Y..m..d","AA","AXP","T","BA","CAT","C","KO","DD","EK","XOM","GE","GM","HWP","HD","HON","INTC","IBM","IP","JPM","JNJ","MCD","MRK","MSFT","MMM","MO","PG","SBC","UTX","WMT","DIS"
"1992-11-24"," 7.26"," 5.65","23.30","16.80","11.19"," 3.68","18.21","18.16","25.48","14.21"," 6.77","19.23"," 7.59"," 9.98","12.10"," 2.18"," 16.12","25.38"," 9.29","11.11","12.14","18.50","  5.72"," 40.32","17.35"," 26.72","13.42"," 9.11","14.88","13.15"
"1992-11-25"," 7.33"," 5.80","23.55","16.43","11.16"," 3.72","18.27","18.26","26.17","14.27"," 6.79","19.69"," 7.82"," 9.98","12.18"," 2.19"," 16.24","25.64"," 9.55","11.11","11.95","18.61","  5.70"," 40.56","17.29"," 26.66","13.58"," 9.27","15.00","12.91"
"1992-11-27"," 7.38"," 5.77","23.30","16.92","11.24"," 3.76","18.15","18.65","26.02","14.18"," 6.79","19.53"," 8.02"," 9.96","12.26"," 2.21"," 16.40","26.30"," 9.61","11.03","12.17","18.76","  5.73"," 41.06","17.29"," 26.60","13.46"," 9.40","15.15","12.95"
"1992-11-30"," 7.54"," 5.71","23.24","17.04","11.76"," 3.86","17.87","18.85","25.71","14.18"," 6.82","19.92"," 8.19","10.07","12.43"," 2.22"," 16.96","26.55"," 9.58","10.89","12.17","18.50","  5.82"," 40.42","17.35"," 26.54","13.37"," 9.42","15.24","13.29"
"1992-12-01"," 7.63"," 5.62","23.30","16.98","11.73"," 3.91","17.82","19.29","25.63","14.06"," 6.73","20.00"," 7.90","10.13","12.56"," 2.27"," 16.83","25.94"," 9.39","10.89","12.17","18.76","  5.82"," 40.47","17.59"," 26.29","13.37"," 9.35","15.18","12.72"
"1992-12-02"," 7.58"," 5.68","23.43","16.49","11.24"," 3.92","17.76","19.29","25.25","13.94"," 6.78","20.23"," 7.84","10.11","12.78"," 2.28"," 16.86","26.50"," 9.39","10.81","12.17","18.81","  5.67"," 40.17","17.65"," 26.11","13.37"," 9.40","15.24","12.72"
"1992-12-03"," 7.53"," 5.77","23.30","16.74","11.01"," 3.90","17.76","19.43","24.87","14.00"," 6.69","20.23"," 7.85","10.40","12.48"," 2.40"," 16.71","26.30"," 9.45","10.87","12.17","18.92","  5.73"," 40.27","17.73"," 26.23","13.61"," 9.42","14.97","12.64"
"1992-12-04"," 7.54"," 5.84","23.30","16.74","11.01"," 3.90","17.82","19.38","25.40","14.27"," 6.77","21.00"," 7.85","10.52","12.59"," 2.45"," 16.65","25.89"," 9.55","11.05","12.14","18.86","  5.73"," 40.12","17.84"," 26.05","13.49"," 9.48","15.13","12.84"
"1992-12-07"," 7.54"," 6.18","23.43","16.92","11.01"," 3.86","17.98","19.48","25.56","14.30"," 6.79","21.23"," 7.91","10.73","12.59"," 2.46"," 16.37","25.84"," 9.45","11.24","12.20","19.17","  5.84"," 40.42","17.81"," 26.23","13.66"," 9.63","15.25","12.95"
"1992-12-08"," 7.61"," 6.05","23.80","16.80","11.19"," 3.93","18.04","19.38","25.17","14.39"," 6.84","21.46"," 7.95","10.70","12.70"," 2.43"," 16.24","26.15"," 9.52","11.24","12.32","19.28","  5.78"," 40.76","17.81"," 25.92","13.85"," 9.66","15.25","13.03"
"1992-12-09"," 7.84"," 6.09","24.10","16.80","11.24"," 3.88","17.93","19.29","25.10","14.45"," 6.88","21.31"," 8.25","10.68","12.81"," 2.47"," 15.56","26.55"," 9.32","11.08","12.17","19.64","  5.75"," 41.21","17.79"," 26.17","13.71"," 9.92","15.25","12.87"
"1992-12-10"," 7.76"," 6.15","23.92","16.61","11.16"," 3.90","17.87","19.04","24.87","14.59"," 6.83","20.62"," 8.21","10.70","12.67"," 2.50"," 15.34","27.16"," 9.10","11.14","12.20","19.43","  5.56"," 41.36","17.57"," 25.99","13.66","10.03","15.10","12.76"
"1992-12-11"," 7.73"," 6.05","23.98","16.68","11.03"," 3.88","17.93","19.19","25.17","14.50"," 6.86","20.69"," 8.10","10.66","12.97"," 2.45"," 15.50","27.21"," 9.23","11.03","12.14","19.59","  5.40"," 41.01","17.35"," 25.62","13.71"," 9.82","15.07","12.60"
"1992-12-14"," 7.63"," 6.12","23.86","16.80","10.95"," 3.88","17.76","18.99","25.02","14.42"," 6.82","20.38"," 8.05","10.70","12.72"," 2.42"," 15.62","27.16"," 9.26","11.08","12.01","19.53","  5.45"," 40.96","17.21"," 25.56","13.68"," 9.90","15.07","12.76"
"1992-12-15"," 7.65"," 6.09","23.61","16.86","11.03"," 3.82","18.27","19.34","25.40","14.56"," 6.89","20.08"," 7.95","10.68","12.83"," 2.41"," 13.95","26.91"," 9.36","11.05","11.86","19.28","  5.40"," 41.36","16.94"," 25.50","13.68"," 9.92","15.13","12.72"
"1992-12-16"," 7.63"," 6.21","23.73","16.86","10.95"," 3.77","18.27","19.19","25.33","14.56"," 6.84","20.31"," 7.87","10.75","12.81"," 2.60"," 12.89","26.60"," 9.29","11.16","11.77","19.17","  5.44"," 40.66","16.75"," 25.50","13.75"," 9.77","15.19","12.68"
"1992-12-17"," 7.66"," 6.18","24.17","17.10","11.01"," 3.77","18.66","19.58","25.17","14.77"," 6.98","20.08"," 8.08","11.10","12.75"," 2.69"," 13.17","26.25"," 9.39","11.41","11.89","19.17","  5.62"," 39.82","16.88"," 25.80","13.95"," 9.90","15.43","12.99"
"1992-12-18"," 7.76"," 6.15","24.47","17.34","11.29"," 4.03","19.67","19.92","25.02","14.98"," 7.11","20.46"," 8.08","11.06","13.11"," 2.66"," 12.77","26.65"," 9.42","11.65","12.26","19.33","  5.62"," 40.81","16.86"," 26.54","14.26","10.00","15.55","13.31"
"1992-12-21"," 7.73"," 6.18","24.72","17.89","11.29"," 3.93","19.56","19.53","25.10","14.98"," 7.17","20.46"," 8.13","11.12","13.00"," 2.80"," 12.14","26.60"," 9.64","11.54","12.20","19.59","  5.66"," 41.21","17.02"," 26.54","14.26","10.00","15.13","13.31"
"1992-12-22"," 7.69"," 6.15","24.84","18.13","11.24"," 3.93","19.61","18.94","25.02","14.86"," 7.13","20.08"," 8.16","11.10","13.16"," 2.76"," 12.86","26.76"," 9.87","11.49","12.20","19.28","  5.48"," 41.01","17.13"," 26.78","14.14","10.13","14.99","13.35"
"1992-12-23"," 7.66"," 6.18","25.46","18.74","11.26"," 3.97","19.61","18.75","24.94","14.74"," 7.08","20.38"," 8.22","11.18","13.24"," 2.80"," 12.73","26.25"," 9.84","11.16","12.36","18.55","  5.45"," 40.91","16.97"," 26.96","14.28","10.16","15.31","13.31"
"1992-12-24"," 7.63"," 6.27","26.02","19.04","11.24"," 3.96","19.56","18.89","24.94","14.80"," 7.09","20.38"," 8.18","11.24","13.16"," 2.80"," 13.11","26.25"," 9.84","11.14","12.14","18.45","  5.45"," 41.11","17.05"," 27.21","14.21","10.08","15.37","13.54"
"1992-12-28"," 7.58"," 6.18","25.58","18.86","11.13"," 4.00","19.56","18.94","24.79","14.89"," 7.12","20.46"," 8.44","11.12","13.40"," 2.81"," 12.86","26.60"," 9.90","10.95","12.42","18.40","  5.47"," 40.76","17.19"," 26.84","14.14","10.05","15.37","13.94"
"1992-12-29"," 7.59"," 6.18","25.77","19.22","11.26"," 3.92","19.33","18.80","24.79","14.68"," 7.07","20.08"," 8.51","11.20","13.35"," 2.77"," 12.36","26.65"," 9.90","10.89","12.23","18.19","  5.41"," 39.67","17.10"," 26.41","14.04","10.00","15.25","13.90"
"1992-12-30"," 7.72"," 6.27","25.65","19.16","11.32"," 3.94","19.22","18.89","24.79","14.62"," 7.10","20.08"," 8.61","11.24","13.24"," 2.74"," 12.45","27.06"," 9.98","10.97","12.14","18.14","  5.37"," 39.77","17.08"," 26.54","14.19","10.16","15.31","13.70"
"1992-12-31"," 7.70"," 6.21","25.15","19.46","11.11"," 3.91","18.83","18.45","24.87","14.56"," 7.00","19.92"," 8.61","11.14","13.16"," 2.70"," 12.52","27.11"," 9.94","10.92","12.11","17.88","  5.34"," 39.87","16.94"," 26.23","14.26","10.11","15.16","13.54"
"1993-01-04"," 7.85"," 6.31","25.03","19.22","11.26"," 3.94","18.88","18.89","25.10","14.62"," 7.00","20.31"," 8.39","10.83","13.13"," 2.69"," 12.45","26.96"," 9.94","10.70","12.17","18.09","  5.32"," 39.87","16.77"," 26.05","14.21","10.26","14.90","13.47"
"1993-01-05"," 7.86"," 6.40","25.34","19.40","11.29"," 3.94","18.49","19.04","25.71","14.77"," 7.09","20.54"," 8.62","10.93","12.97"," 2.83"," 12.14","26.60"," 9.78","10.46","12.11","17.78","  5.41"," 39.52","16.14"," 25.92","14.18","10.40","14.84","13.56"
"1993-01-06"," 7.81"," 6.37","25.65","19.53","11.55"," 3.98","18.60","18.85","26.09","14.71"," 7.06","21.00"," 8.96","10.48","12.89"," 3.07"," 11.93","26.71"," 9.88","10.14","12.17","17.32","  5.56"," 39.47","15.79"," 25.44","14.33","10.40","14.45","13.88"
"1993-01-07"," 7.80"," 6.37","25.52","19.53","11.70"," 4.04","18.27","18.55","26.09","14.68"," 7.04","20.62"," 8.68","10.50","12.62"," 3.10"," 11.68","26.25"," 9.69"," 9.87","12.11","17.11","  5.45"," 39.47","15.95"," 25.07","14.35","10.26","14.25","13.60"
"1993-01-08"," 7.58"," 6.31","25.46","18.92","11.81"," 4.00","18.10","18.26","25.63","14.45"," 7.02","20.62"," 8.71","10.44","12.62"," 3.07"," 11.55","26.04"," 9.75","10.11","12.29","17.52","  5.45"," 39.57","16.25"," 24.33","14.16","10.16","14.07","13.60"
"1993-01-11"," 7.62"," 6.27","25.40","18.56","11.83"," 3.93","18.32","17.92","27.63","14.42"," 6.96","21.16"," 8.96","10.52","12.81"," 3.18"," 11.86","25.64"," 9.88","10.11","12.23","17.83","  5.57"," 39.52","16.28"," 24.09","14.16","10.13","13.98","13.40"
"1993-01-12"," 7.50"," 6.31","25.46","18.56","11.68"," 4.01","18.43","17.77","29.24","14.30"," 6.97","21.16"," 8.71","10.54","12.86"," 3.17"," 12.11","25.69"," 9.94","10.14","12.14","17.63","  5.61"," 39.08","16.47"," 24.15","14.23","10.16","14.10","13.36"
"1993-01-13"," 7.38"," 6.31","25.40","18.56","11.55"," 4.06","18.60","17.96","29.32","14.36"," 6.94","21.00"," 8.78","10.77","12.62"," 3.42"," 11.86","25.13","10.07","10.11","12.26","17.88","  5.70"," 39.47","16.20"," 24.46","14.47","10.08","14.16","13.64"
"1993-01-14"," 7.38"," 6.34","26.02","18.19","11.53"," 4.20","19.45","17.87","30.16","14.39"," 6.95","21.00"," 9.13","10.91","12.53"," 3.50"," 12.11","24.77","10.40","10.00","12.42","17.32","  5.70"," 39.62","16.20"," 24.70","14.64"," 9.95","14.27","14.03"
"1993-01-15"," 7.49"," 6.34","26.26","18.07","11.79"," 4.21","19.45","18.06","29.70","14.33"," 6.93","21.39"," 8.98","10.87","12.59"," 3.47"," 11.99","25.13","10.43","10.14","12.29","17.21","  5.61"," 39.67","15.98"," 24.95","14.47"," 9.92","14.33","14.15"
"1993-01-18"," 7.49"," 6.46","26.75","18.25","11.76"," 4.19","19.39","18.41","30.01","14.15"," 6.93","21.93"," 8.88","10.91","12.94"," 3.63"," 12.30","25.48","10.62","10.11","12.26","17.06","  5.58"," 39.62","15.73"," 24.64","14.33"," 9.82","14.19","14.07"
"1993-01-19"," 7.41"," 6.43","26.75","17.95","11.74"," 4.12","18.88","18.41","30.31","14.03"," 6.89","22.62"," 8.88","10.85","12.89"," 3.57"," 12.02","25.18","10.72"," 9.81","12.26","16.80","  5.52"," 39.23","15.51"," 24.33","14.38"," 9.87","14.13","13.99"
"1993-01-20"," 7.39"," 6.43","26.57","17.83","11.63"," 4.18","18.77","18.36","29.85","13.94"," 6.77","22.39"," 8.71","10.68","12.91"," 3.50"," 11.65","25.18","10.40"," 9.89","12.20","17.01","  5.52"," 38.93","15.48"," 24.21","14.04"," 9.82","14.16","14.03"
"1993-01-21"," 7.43"," 6.37","27.19","17.65","11.32"," 4.18","18.83","17.82","29.93","13.85"," 6.84","23.16"," 8.84","10.66","12.86"," 3.48"," 11.52","25.69","10.23"," 9.95","12.29","17.32","  5.59"," 39.38","15.79"," 24.21","14.28"," 9.90","14.10","14.19"
"1993-01-22"," 7.55"," 6.46","26.57","17.52","11.48"," 4.24","18.43","17.62","30.01","13.85"," 6.91","23.47"," 9.04","10.77","12.56"," 3.47"," 12.08","25.54","10.27"," 9.92","12.01","17.47","  5.59"," 38.73","15.87"," 24.58","14.18"," 9.98","14.84","13.95"
"1993-01-25"," 7.65"," 6.34","25.77","17.89","11.37"," 4.27","18.77","17.72","30.55","14.45"," 6.96","23.24"," 9.07","10.91","12.67"," 3.50"," 12.14","25.74","10.17"," 9.73","12.08","17.01","  5.53"," 39.57","15.98"," 25.07","14.18","10.00","15.31","13.68"
"1993-01-26"," 7.65"," 6.02","25.89","17.22","11.68"," 4.28","18.94","18.06","30.93","14.59"," 6.97","23.63"," 9.05","10.83","13.02"," 3.56"," 12.17","25.94","10.36"," 9.43","11.98","16.29","  5.50"," 39.08","16.14"," 24.46","13.99"," 9.98","15.16","14.55"
"1993-01-27"," 7.78"," 5.80","26.26","16.80","11.84"," 4.30","18.66","18.01","30.78","14.42"," 6.93","23.47"," 8.82","10.62","12.91"," 3.50"," 12.33","26.04","10.75"," 9.57","11.89","16.60","  5.39"," 38.63","16.20"," 24.27","13.99"," 9.79","15.25","14.35"
"1993-01-28"," 7.98"," 5.64","26.20","17.10","11.68"," 4.35","18.55","17.87","30.55","14.68"," 7.00","23.32"," 8.76","10.56","12.75"," 3.39"," 12.49","26.55","10.43"," 9.49","12.11","16.70","  5.44"," 38.78","16.44"," 24.33","13.87"," 9.71","15.34","14.51"
"1993-01-29"," 8.00"," 5.86","26.08","17.10","11.66"," 4.29","19.05","17.92","30.62","14.56"," 7.06","23.32"," 8.87","10.75","12.53"," 3.32"," 12.80","26.25","10.46"," 9.51","12.08","16.65","  5.41"," 38.83","16.42"," 24.33","13.40"," 9.84","15.43","14.39"
"1993-02-01"," 7.91"," 6.21","26.63","17.46","11.63"," 4.37","19.33","18.16","30.47","14.65"," 7.07","23.55"," 8.99","10.99","12.70"," 3.46"," 13.08","25.89","10.56"," 9.51","12.23","16.03","  5.47"," 39.13","16.66"," 24.58","13.67","10.05","15.61","14.39"
"1993-02-02"," 7.97"," 6.21","26.45","17.40","11.79"," 4.46","18.94","18.41","30.62","14.83"," 6.96","23.09"," 8.91","10.95","12.83"," 3.46"," 12.95","25.74","10.59"," 9.41","12.48","15.51","  5.56"," 39.18","16.58"," 24.46","13.82"," 9.82","15.70","14.70"
"1993-02-03"," 8.00"," 6.27","26.69","17.28","12.10"," 4.61","18.83","18.45","30.24","14.89"," 7.06","24.17"," 8.76","10.99","13.46"," 3.38"," 12.70","26.60","10.72"," 9.78","12.45","16.13","  5.52"," 39.92","16.55"," 24.76","13.82","10.24","15.84","15.02"
"1993-02-04"," 8.22"," 6.27","26.51","16.98","12.25"," 4.74","18.77","18.45","30.85","14.77"," 7.10","23.32"," 8.58","11.01","14.22"," 3.40"," 12.77","27.82","10.85"," 9.87","12.82","15.67","  5.31"," 41.31","16.47"," 24.89","13.77","10.42","15.79","14.98"
"1993-02-05"," 8.39"," 6.31","26.39","17.28","12.33"," 4.54","18.55","19.43","31.31","14.74"," 7.12","23.52"," 8.44","10.87","14.36"," 3.32"," 12.92","28.18","11.04"," 9.73","12.67","15.82","  5.56"," 43.09","16.53"," 25.13","13.62","10.29","15.61","14.94"
"1993-02-08"," 8.27"," 6.37","26.57","17.16","12.13"," 4.58","18.49","19.66","32.77","14.98"," 7.11","24.14"," 8.35","10.58","14.03"," 3.30"," 13.14","28.13","11.01"," 9.70","12.54","15.87","  5.36"," 43.19","16.36"," 25.56","13.55"," 9.95","15.55","14.94"
"1993-02-09"," 8.14"," 6.27","26.45","17.10","11.97"," 4.48","18.32","19.51","33.00","14.89"," 7.10","23.83"," 8.30","10.52","13.76"," 3.44"," 13.26","27.57","10.91"," 9.70","12.36","16.13","  5.24"," 43.19","16.09"," 25.31","13.40"," 9.95","15.49","14.62"
"1993-02-10"," 8.11"," 6.27","26.57","16.98","11.74"," 4.55","18.21","19.36","31.93","14.86"," 7.11","24.37"," 8.41","10.58","13.98"," 3.56"," 12.98","27.62","10.91"," 9.89","12.48","16.60","  5.34"," 43.29","16.20"," 25.31","13.50"," 9.53","15.31","14.74"
"1993-02-11"," 8.12"," 6.31","26.57","16.68","11.94"," 4.58","18.27","19.46","31.85","14.86"," 7.08","25.15"," 8.47","10.64","14.55"," 3.49"," 12.70","27.77","10.94"," 9.78","12.42","16.80","  5.33"," 42.69","16.14"," 25.56","13.57"," 9.53","15.13","14.82"
"1993-02-12"," 8.00"," 6.21","26.63","16.68","11.89"," 4.52","18.21","19.16","31.77","14.71"," 6.96","25.23"," 8.50","10.54","14.12"," 3.45"," 12.61","28.00","10.78"," 9.78","12.32","16.65","  5.23"," 42.50","16.01"," 24.89","13.77"," 9.48","15.16","14.82"
"1993-02-16"," 7.76"," 5.99","25.95","16.37","11.58"," 4.25","18.27","18.72","30.62","14.80"," 6.80","23.99"," 8.33"," 9.98","14.04"," 3.29"," 12.42","26.51","10.43"," 9.26","12.11","15.62","  5.01"," 41.70","15.46"," 24.52","13.72"," 9.27","14.81","14.15"
"1993-02-17"," 7.87"," 6.12","25.77","16.37","11.61"," 4.27","18.38","18.82","30.39","14.71"," 6.76","24.61"," 8.90","10.04","14.17"," 3.37"," 12.55","26.82","10.33"," 9.13","12.05","15.46","  5.02"," 41.11","15.48"," 24.46","13.72"," 9.32","14.72","14.19"
"1993-02-18"," 7.82"," 6.02","25.95","16.43","11.68"," 4.28","18.55","18.32","30.85","14.74"," 6.71","23.91"," 9.07","10.25","14.01"," 3.42"," 12.55","26.15","10.23"," 9.02","12.08","15.62","  5.10"," 40.81","15.51"," 24.21","13.96"," 9.29","14.66","14.31"
"1993-02-19"," 7.69"," 6.08","26.51","16.31","11.55"," 4.44","18.77","18.87","30.85","15.31"," 6.74","24.14"," 9.22","10.13","14.04"," 3.59"," 12.55","26.00","10.59"," 8.83","12.29","15.20","  4.98"," 41.55","14.93"," 24.15","14.09"," 9.40","14.57","14.19"
"1993-02-22"," 7.68"," 6.12","26.82","16.68","11.61"," 4.36","18.55","18.87","31.62","15.37"," 6.81","24.06"," 9.18"," 9.86","14.23"," 3.56"," 12.73","26.05","10.78"," 8.50","12.48","15.10","  4.80"," 41.79","14.17"," 24.40","14.30"," 9.60","14.39","14.39"
"1993-02-23"," 7.70"," 6.02","26.88","16.80","11.50"," 4.20","18.60","18.87","31.54","15.13"," 6.84","22.90"," 8.90"," 9.82","14.15"," 3.52"," 12.70","26.31","10.49"," 8.72","12.39","15.51","  4.97"," 41.64","13.97"," 24.82","14.40"," 9.49","14.19","13.64"
"1993-02-24"," 7.76"," 6.18","27.74","16.86","11.76"," 4.26","18.88","18.52","31.23","15.13"," 6.89","23.44"," 9.21","10.44","14.28"," 3.66"," 12.89","26.67","10.78"," 9.18","12.32","15.82","  5.24"," 42.04","14.55"," 24.82","14.40"," 9.47","14.81","14.03"
"1993-02-25"," 7.64"," 6.08","27.74","16.80","11.74"," 4.46","19.00","18.52","32.86","15.16"," 6.92","23.44"," 9.36","10.54","14.47"," 3.67"," 13.36","26.46","10.72"," 9.05","12.57","15.82","  5.27"," 41.69","14.41"," 24.89","14.30"," 9.60","15.07","14.15"
"1993-02-26"," 7.58"," 6.18","27.56","16.68","12.05"," 4.43","19.05","18.32","33.25","15.16"," 6.89","23.13"," 9.08","10.50","14.39"," 3.62"," 13.51","26.31","10.43"," 9.24","12.57","15.87","  5.21"," 42.14","14.74"," 25.44","14.50"," 9.49","15.40","13.99"
"1993-03-01"," 7.49"," 6.21","27.43","16.49","12.02"," 4.42","18.94","18.22","32.55","15.22"," 6.83","22.98"," 9.02","10.35","14.20"," 3.58"," 13.60","25.85","10.56"," 9.32","12.32","16.29","  5.09"," 41.64","14.33"," 25.80","14.38"," 9.55","15.64","13.80"
"1993-03-02"," 7.58"," 6.21","27.62","16.55","12.23"," 4.59","19.39","18.52","32.94","15.37"," 7.00","23.52"," 9.27","10.56","14.34"," 3.71"," 13.48","26.05","10.78"," 9.45","12.73","16.13","  5.29"," 42.29","14.82"," 25.99","14.62"," 9.63","16.11","13.92"
"1993-03-03"," 7.55"," 6.27","28.30","16.74","12.31"," 4.67","19.22","18.72","33.40","15.25"," 7.01","23.91"," 9.36","10.60","14.80"," 3.73"," 13.73","26.00","10.81"," 9.24","12.70","16.03","  5.30"," 41.94","14.63"," 26.05","14.64"," 9.60","15.99","14.07"
"1993-03-04"," 7.41"," 6.34","28.23","16.74","12.15"," 4.56","19.39","18.67","33.48","15.34"," 6.96","23.68"," 9.35","10.50","14.58"," 3.69"," 13.63","26.41","10.56"," 8.99","12.82","15.66","  5.23"," 42.29","14.36"," 26.29","14.64"," 9.81","15.58","14.15"
"1993-03-05"," 7.55"," 6.46","27.86","16.80","12.20"," 4.62","19.28","18.47","33.17","15.07"," 7.02","24.22"," 9.45","10.44","14.47"," 3.60"," 13.73","26.10","10.52"," 8.78","12.76","15.56","  5.17"," 42.74","14.34"," 26.23","14.55"," 9.79","15.52","14.35"
"1993-03-08"," 7.78"," 6.75","28.97","16.74","12.36"," 4.85","19.67","19.26","33.79","15.37"," 7.17","24.68"," 9.61","10.66","14.61"," 3.70"," 13.95","27.28","10.78"," 9.21","13.04","15.87","  5.23"," 43.68","14.11"," 26.60","14.55"," 9.94","16.05","14.43"
"1993-03-09"," 7.93"," 7.06","28.91","16.55","12.38"," 5.42","19.47","18.92","33.87","15.28"," 7.15","24.92"," 9.56","10.68","14.66"," 3.67"," 14.07","27.28","11.04"," 9.37","13.10","15.82","  5.27"," 43.68","14.20"," 26.17","14.40"," 9.97","16.05","14.35"
"1993-03-10"," 7.77"," 6.84","28.67","16.92","12.31"," 5.68","19.35","18.97","33.71","15.22"," 7.19","24.92"," 9.64","10.62","14.58"," 3.64"," 13.88","27.18","11.33"," 9.73","13.07","16.60","  5.31"," 43.78","14.36"," 26.17","14.38","10.13","16.11","14.19"
"1993-03-11"," 7.66"," 6.90","28.36","16.80","12.18"," 5.82","19.30","18.67","33.87","15.10"," 7.17","24.06"," 9.61","10.52","14.69"," 3.63"," 13.63","26.46","11.17"," 9.59","13.01","16.29","  5.41"," 43.53","14.56"," 26.05","14.18","10.10","15.70","14.15"
"1993-03-12"," 7.51"," 7.06","28.17","17.10","12.00"," 6.00","19.07","18.37","33.40","14.92"," 7.09","23.83"," 9.53","10.56","14.61"," 3.66"," 13.82","26.21","11.01"," 9.48","12.79","16.23","  5.56"," 43.33","14.45"," 26.11","13.96"," 9.84","15.76","14.15"
"1993-03-15"," 7.65"," 6.84","28.67","17.28","12.05"," 6.03","19.41","18.57","33.40","15.07"," 7.08","24.14"," 9.52","10.68","14.77"," 3.69"," 13.67","26.67","11.01"," 9.45","12.95","16.03","  5.48"," 43.33","14.34"," 25.92","14.09","10.00","15.81","14.27"
"1993-03-16"," 7.64"," 6.90","28.54","16.98","11.97"," 5.80","19.47","18.62","33.79","15.25"," 7.12","23.83"," 9.58","10.64","14.83"," 3.72"," 13.70","26.72","11.14"," 9.13","13.04","15.66","  5.48"," 43.38","14.34"," 25.92","14.21"," 9.94","15.93","14.27"
"1993-03-17"," 7.64"," 6.94","28.23","16.68","12.00"," 5.65","19.24","18.42","33.63","15.28"," 7.14","24.06"," 9.35","10.58","14.72"," 3.57"," 13.54","26.46","10.81"," 8.78","13.04","15.20","  5.34"," 43.33","14.25"," 25.68","14.01"," 9.97","15.83","14.07"
"1993-03-18"," 7.66"," 7.03","28.85","16.74","12.05"," 5.70","19.35","18.92","34.10","15.46"," 7.24","24.68"," 9.39","10.66","14.96"," 3.60"," 13.57","26.51","10.75"," 8.75","13.19","15.09","  5.33"," 43.88","14.22"," 25.68","14.04"," 9.84","16.07","14.27"
"1993-03-19"," 7.58"," 7.12","28.85","16.80","12.05"," 5.47","19.13","18.87","34.72","15.40"," 7.26","24.68"," 9.28","10.66","14.86"," 3.54"," 13.36","26.67","10.59"," 8.53","13.29","14.99","  5.27"," 43.73","14.22"," 25.56","14.04"," 9.92","15.71","14.11"
"1993-03-22"," 7.58"," 7.12","28.11","16.74","12.15"," 5.50","18.96","18.77","34.49","15.46"," 7.28","24.68"," 8.99","10.52","14.83"," 3.51"," 13.32","26.92","10.65"," 8.59","13.19","14.83","  5.21"," 44.03","14.03"," 25.31","14.11","10.02","15.65","13.99"
"1993-03-23"," 7.46"," 7.28","28.17","17.16","12.33"," 5.44","18.73","18.97","34.56","15.40"," 7.22","24.68"," 9.19","10.35","15.05"," 3.50"," 13.48","26.82","10.49"," 8.83","13.16","15.35","  5.20"," 43.98","14.06"," 24.95","14.26"," 9.92","15.53","13.88"
"1993-03-24"," 7.45"," 7.00","28.30","16.86","12.38"," 5.62","18.90","19.16","34.41","15.49"," 7.36","24.14"," 8.96","10.11","14.99"," 3.55"," 12.70","26.82","10.27"," 8.59","13.01","14.42","  5.39"," 43.78","13.89"," 24.64","14.35"," 9.89","15.47","13.76"
"1993-03-25"," 7.42"," 7.09","28.42","17.16","12.38"," 5.61","19.24","19.21","35.03","15.64"," 7.38","23.91"," 9.18","10.46","14.96"," 3.59"," 12.55","26.72","10.30"," 8.91","13.13","14.73","  5.46"," 43.63","13.64"," 24.52","14.50","10.18","15.77","13.84"
"1993-03-26"," 7.35"," 7.00","27.99","16.98","12.36"," 5.68","18.79","19.41","34.56","15.55"," 7.35","23.68"," 9.02","10.35","14.83"," 3.55"," 12.77","26.26","10.46"," 8.59","13.23","14.11","  5.41"," 43.73","13.75"," 24.15","14.74","10.00","15.59","13.92"
"1993-03-29"," 7.34"," 6.97","28.11","17.16","12.51"," 5.65","18.90","19.41","33.79","15.79"," 7.39","23.91"," 9.12","10.46","14.64"," 3.55"," 12.86","25.85","10.59"," 8.69","13.35","14.32","  5.44"," 43.93","13.81"," 24.21","14.84","10.10","15.77","13.76"
"1993-03-30"," 7.11"," 7.06","28.30","17.28","12.51"," 5.67","19.41","19.41","33.17","15.85"," 7.44","23.68"," 9.33","10.29","14.64"," 3.59"," 12.42","25.90","10.49"," 9.13","13.23","14.89","  5.69"," 44.08","14.20"," 24.33","14.96","10.10","14.76","13.92"
"1993-03-31"," 6.97"," 6.90","27.99","16.98","12.28"," 5.59","19.24","19.06","33.63","15.76"," 7.30","23.36"," 9.38","10.44","14.56"," 3.57"," 12.64","25.59","10.48"," 9.26","13.13","14.68","  5.78"," 43.73","14.20"," 24.40","15.20","10.02","15.06","14.03"
"1993-04-01"," 7.01"," 7.00","28.11","16.92","12.28"," 5.42","19.35","19.11","33.79","15.61"," 7.34","23.21"," 9.32","10.29","14.58"," 3.47"," 12.89","26.00","10.58"," 8.86","13.29","14.26","  5.81"," 43.73","14.22"," 24.40","15.16","10.00","14.76","14.03"
"1993-04-02"," 6.97"," 6.87","27.93","16.74","12.13"," 5.47","18.96","19.21","32.55","15.76"," 7.29","23.13"," 8.99"," 9.98","14.25"," 3.34"," 13.08","25.59","10.09"," 8.72","13.07","14.11","  5.61"," 43.53","10.95"," 23.78","15.01"," 9.89","14.47","13.84"
"1993-04-05"," 6.91"," 7.16","27.68","16.92","12.07"," 5.44","18.51","19.61","32.86","15.96"," 7.33","23.44"," 8.98"," 9.78","14.20"," 3.42"," 13.08","25.80","10.35"," 8.99","12.79","14.16","  5.72"," 43.88","11.06"," 23.17","15.16","10.05","14.11","13.38"
