"X.Y..m..d","IP"
"1998-04-28","134.017"
"1998-05-28","134.390"
"1998-06-28","133.627"
"1998-07-28","133.301"
"1998-08-28","135.900"
"1998-09-28","135.609"
"1998-10-28","136.421"
"1998-11-28","135.936"
"1998-12-28","135.973"
"1999-01-28","136.900"
"1999-02-28","137.224"
"1999-03-28","137.803"
"1999-04-28","137.943"
"1999-05-28","138.542"
"1999-06-28","138.787"
"1999-07-28","139.555"
"1999-08-28","140.249"
"1999-09-28","140.277"
"1999-10-28","141.335"
"1999-11-28","141.895"
"1999-12-28","142.856"
"2000-01-28","143.173"
"2000-02-28","144.043"
"2000-03-28","144.882"
"2000-04-28","145.636"
"2000-05-28","146.617"
"2000-06-28","147.188"
"2000-07-28","146.532"
"2000-08-28","146.700"
"2000-09-28","146.826"
"2000-10-28","146.266"
"2000-11-28","145.789"
"2000-12-28","145.135"
"2001-01-28","143.934"
"2001-02-28","143.509"
"2001-03-28","142.928"
"2001-04-28","142.007"
"2001-05-28","141.595"
"2001-06-28","140.326"
"2001-07-28","140.402"
"2001-08-28","139.954"
"2001-09-28","138.821"
"2001-10-28","137.551"
"2001-11-28","137.139"
